# name,mass (Mjup),Radio (Rjup),Periodo (dias),Semi eje (ua),Excen,inclination,Año,Metodo,Nombre estr,Metalicidad,Masa estr (Msol),Radio (Rsol),Tipo espectral,Edad (gyr),Teff,Disco detectado,Campo magnetico
HD 179079 b,0.08,,14.476,0.11,0.115,,2009,Radial Velocity,HD 179079,0.29,1.087,1.48,G5IV,,5724,,
HD 179949 b,0.92,1.05,3.0925,0.045,0.0104,,2000,Radial Velocity,HD 179949,0.22,1.28,1.19,F8 V,2.05,6260,,
HD 180314 b,22,,396.03,1.4,0.257,,2010,Radial Velocity,HD 180314,0.2,2.6,9.2,K0,,4917,,
HD 180777 b,25,,28.44,0.22,0.2,,2006,Radial Velocity,HD 180777,,1.7,,A9V,,7250,,
HD 180902 b,1.6,,479,1.39,0.09,,2010,Radial Velocity,HD 180902,0.04,1.52,4.1,K0III/IV,2.8,5030,,
HD 181342 b,2.9,,562,1.65,0.1,,2010,Radial Velocity,HD 181342,0.26,1.84,4.6,K0III,1.8,5014,,
HD 181433 b,0.0238,,9.3743,0.08,0.396,,2008,Radial Velocity,HD 181433,0.33,0.78,,K3IV,,4962,,
HD 181433 c,0.64,,962,1.76,0.28,,2008,Radial Velocity,HD 181433,0.33,0.78,,K3IV,,4962,,
HD 181433 d,0.54,,2172,3,0.48,,2008,Radial Velocity,HD 181433,0.33,0.78,,K3IV,,4962,,
HD 181720 b,12,,956,1.78,0.26,1.75,2009,Radial Velocity,HD 181720,-0.53,0.92,,G1V,,5781,,
HD 183263 b,3.67,,626.5,1.51,0.357,,2004,Radial Velocity,HD 183263,0.3,1.17,1.21,G2IV,8.1,5888,,
HD 183263 c,3.82,,2950,4.25,0.253,,2008,Radial Velocity,HD 183263,0.3,1.17,1.21,G2IV,8.1,5888,,
HD 185269 b,0.94,,6.838,0.077,0.3,,2006,Radial Velocity,HD 185269,0.11,1.28,1.88,G0IV,4.2,5980,,
HD 187085 b,0.75,,986,2.05,0.47,,2006,Radial Velocity,HD 187085,0.05,1.22,,G0 V,3.3,6075,IR Excess,
HD 187123 b,0.52,,3.0965828,0.0426,0.01,,1998,Radial Velocity,HD 187123,0.16,1.06,1.17,G5,5.33,5714,,
HD 187123 c,1.99,,3810,4.89,0.252,,1998,Radial Velocity,HD 187123,0.16,1.06,1.17,G5,5.33,5714,,
HD 18742 b,2.7,,772,1.92,0.23,,2011,Radial Velocity,HD 18742,-0.04,1.6,4.9,G9IV,2.3,5048,,
HD 188015 b,1.26,,456.46,1.19,0.15,,2004,Radial Velocity,HD 188015,0.29,1.09,1.1,G5IV,6.2,5520,,
HD 189567 b,0.0316,,14.275,0.1099,0.23,,2011,Radial Velocity,HD 189567,,,,G2V,,,,
HD 189733 b,1.142,1.138,2.21857312,0.03142,0.0041,85.51,2005,Primary Transit,HD 189733,-0.03,0.8,0.805,K1-K2,0.6,4875,,Yes
HD 190228 b,65.7,,1146,2,0.5,4.5,2002,Radial Velocity,HD 190228,-0.24,1.3,3.02,G5IV,10.16,5176,,
HD 190360 b,1.495,,2867.9,3.92,0.343,,2003,Radial Velocity,HD 190360,0.24,1.04,1.2,G6 IV,12.11,5588,,
HD 190360 c,0.06381,,17.1186,0.128,0.107,,2005,Radial Velocity,HD 190360,0.24,1.04,1.2,G6 IV,12.11,5588,,
HD 190647 b,1.9,,1038.1,2.07,0.18,,2007,Radial Velocity,HD 190647,0.24,1.1,,G5,2,5628,,
HD 190984 b,3.1,,4885,5.5,0.57,,2009,Radial Velocity,HD 190984,-0.48,0.91,1.53,F8V,,5988,,
HD 191806 b,8.52,,1606.3,2.8,0.259,,2016,Radial Velocity,HD 191806,0.3,1.14,,,2.9,6010,,
HD 192263 b,0.733,,24.3587,0.15312,0.008,,1999,Radial Velocity,HD 192263,-0.2,0.81,0.75,K2 V,0.57,4965,IR Excess,
HD 192699 b,2.5,,351.5,1.16,0.149,,2007,Radial Velocity,HD 192699,-0.15,1.68,4.25,G8IV,1.8,5220,,
HD 19467 b,52,,,51.1,,,2016,Imaging,HD 19467,-0.15,0.95,1.15,G3V,7.2,5680,,
HD 195019 b,3.7,,18.20163,0.1388,0.014,,1998,Radial Velocity,HD 195019,0.08,1.06,1.38,G3 IV-V,5.33,5787,,
HD 195689 b,,,1.48,,,,,Primary Transit,HD 195689,,,,A0,,10170,,
HD 196050 b,2.83,,1316.24,2.47,0.21,,2002,Radial Velocity,HD 196050,0.23,1.17,1.29,G3 V,3.17,5874,,
HD 196067 b,6.9,,3638,5.02,0.66,,2011,Radial Velocity,HD 196067,,,,G0V,,,,
HD 196885 A b,2.98,,1326,2.6,0.48,,2007,Radial Velocity,HD 196885 A,0.29,1.33,1.79,F8V,2,6340,,
HD 197037 b,0.79,,1035.7,2.07,0.22,,2012,Radial Velocity,HD 197037,-0.2,1.11,,F7V,1.9,6150,,
HD 19994 b,1.68,,535.7,1.42,0.3,,2003,Radial Velocity,HD 19994,0.25,1.34,1.93,F8 V,8.91,5984,IR Excess,
HD 20003 b,0.0378,,11.849,0.0974,0.4,,2011,Radial Velocity,HD 20003,,,,G8V,,,,
HD 20003 c,0.0422,,33.823,0.1961,0.16,,2011,Radial Velocity,HD 20003,,,,G8V,,,,
HD 200964 b,1.85,,613.8,1.601,0.04,,2010,Radial Velocity,HD 200964,-0.15,1.44,4.3,KO,3,5164,,
HD 200964 c,0.895,,825,1.95,0.181,,2010,Radial Velocity,HD 200964,-0.15,1.44,4.3,KO,3,5164,,
HD 202206 B,93.6,,256.33,0.83,0.432,10.9,2002,Radial Velocity,HD 202206,0.37,1.13,1.02,G6 V,2.04,5750,IR Excess,
HD 202206 c,17.9,,1260,2.41,0.22,7.7,2004,Radial Velocity,HD 202206,0.37,1.13,1.02,G6 V,2.04,5750,IR Excess,
HD 20367 b,1.07,,500,1.25,0.23,,2002,Radial Velocity,HD 20367,0.1,1.04,1.18,G0,0.87,6128,,
HD 2039 b,6.11,,1120,2.23,0.67,,2002,Radial Velocity,HD 2039,0.1,0.98,1.21,G2/G3 IV-V,5.28,5947,,
HD 204313 b,4.28,,2024.1,3.167,0.0946,,2009,Radial Velocity,HD 204313,0.18,1.045,,G5V,3.38,5767,,
HD 204313 c,0.0553,,34.905,0.2099,0.155,,2011,Radial Velocity,HD 204313,0.18,1.045,,G5V,3.38,5767,,
HD 204313 d,1.68,,2831.6,3.93,0.28,,2012,Radial Velocity,HD 204313,0.18,1.045,,G5V,3.38,5767,,
HD 204941 b,0.266,,1733,2.56,0.37,,2011,Radial Velocity,HD 204941,-0.19,0.74,0.72,,6.67,5056,,
HD 205739 b,1.37,,279.8,0.896,0.27,,2008,Radial Velocity,HD 205739,0.19,1.22,1.33,F7V,2.84,6176,,
HD 206610 b,2.2,,610,1.68,0.229,,2010,Radial Velocity,HD 206610,0.14,1.56,6.1,K0,3,4874,,
HD 206893 b,49,,,10,,,2016,Imaging,HD 206893,,1.24,,F5V,1.1,6486,,
HD 20781 b,0.0379,,29.15,0.169,0.11,,2011,Radial Velocity,HD 20781,,,,G9.5V,,,,
HD 20781 c,0.0496,,85.131,0.3456,0.28,,2011,Radial Velocity,HD 20781,,,,G9.5V,,,,
HD 20782 b,1.9,,591.9,1.381,0.97,,2006,Radial Velocity,HD 20782,-0.05,1,,G2 V,7.1,5578,,
HD 207832 b,0.56,,161.97,0.57,0.13,,2012,Radial Velocity,HD 207832,0.06,0.94,0.901,G5V,4.5,5710,,
HD 207832 c,0.73,,1155.7,2.112,0.27,,2012,Radial Velocity,HD 207832,0.06,0.94,0.901,G5V,4.5,5710,,
HD 20794 b,0.00887,,18.33,0.127,0.27,,2011,Radial Velocity,HD 20794,-0.38,0.813,0.9,G8V,14,5490,IR Excess,
HD 20794 d,0.0111,,88.9,0.364,0.25,,2011,Radial Velocity,HD 20794,-0.38,0.813,0.9,G8V,14,5490,IR Excess,
HD 20794 e,0.015,,147.02,0.509,0.29,,2017,Radial Velocity,HD 20794,-0.38,0.813,0.9,G8V,14,5490,IR Excess,
HD 208487 b,0.413,,129.8,0.51,0.21,,2004,Radial Velocity,HD 208487,-0.06,1.3,1.15,G2V,3.88,5929,,
HD 208527 b,9.9,,875.5,2.1,0.08,,2012,Radial Velocity,HD 208527,-0.09,1.6,51.1,M1III,2,4035,,
HD 20868 b,1.99,,380.85,0.947,0.75,,2008,Radial Velocity,HD 20868,0.04,0.78,0.79,K3/4IV,4.5,4795,,
HD 209458 b,0.69,1.38,3.52472,0.04747,0.0082,86.59,1999,Primary Transit,HD 209458,0.02,1.148,1.203,G0 V,4,6092,,
HD 210277 b,1.23,,442.1,1.1,0.472,,1998,Radial Velocity,HD 210277,0.19,1.09,1.1,G0,6.93,5532,IR Excess,
HD 210702 b,1.9,,354.8,1.2,0.152,,2007,Radial Velocity,HD 210702,0.12,1.68,5.1,K1IV,1.4,5010,,
HD 211847 b,19.2,,7930,7.5,0.685,,2011,Radial Velocity,HD 211847,-0.08,0.94,,G5V,3,5715,,
HD 212301 b,0.4,1.07,2.245715,0.036,0.0147,,2005,Radial Velocity,HD 212301,0.18,1.05,,F8 V,5.9,5998,,
HD 212771 b,2.3,,373.3,1.22,0.111,,2010,Radial Velocity,HD 212771,-0.21,1.15,5,G8IV,6,5121,,
HD 213240 b,4.5,,951,2.03,0.45,,2001,Radial Velocity,HD 213240,0.16,1.22,1.5,G4 IV,5.11,5975,,
HD 214823 b,19.2,,1877,3.18,0.154,,2016,Radial Velocity,HD 214823,0.17,1.22,,G0V,2.7,6215,,
HD 215152 b,0.0087,,7.2825,0.0652,0.34,,2011,Radial Velocity,HD 215152,,,,K0,,,IR Excess,
HD 215152 c,0.0097,,10.866,0.0852,0.38,,2011,Radial Velocity,HD 215152,,,,K0,,,IR Excess,
HD 215456 b,0.101,,191.99,0.652,0.15,,2011,Radial Velocity,HD 215456,,,,G0.5V,,,,
HD 215456 c,0.246,,2277,3.394,0.19,,2011,Radial Velocity,HD 215456,,,,G0.5V,,,,
HD 215497 b,0.02,,3.93404,0.047,0.16,,2009,Radial Velocity,HD 215497,0.23,0.87,,K3V,7,5113,,
HD 215497 c,0.33,,567.94,1.282,0.49,,2009,Radial Velocity,HD 215497,0.23,0.87,,K3V,7,5113,,
HD 216435 b,1.26,,1311,2.56,0.07,,2002,Radial Velocity,HD 216435,0.244,1.3,2,G0 V,5.27,5767,IR Excess,
HD 216437 b,1.82,,1256,2.32,0.29,,2002,Radial Velocity,HD 216437,0.25,1.06,1.1,G4 IV-V,12.96,5636,,
HD 216536 b,1.47,,148.6,0.609,0.38,,2015,Radial Velocity,HD 216536,-0.17,1.36,12.5,K0,3.8,4639,,
HD 216770 b,0.65,,118.45,0.46,0.37,,2003,Radial Velocity,HD 216770,0.23,0.9,1,K1 V,3.6,5248,,
HD 21693 b,0.0322,,22.656,0.1484,0.26,,2011,Radial Velocity,HD 21693,,,,G9IV,,,,
HD 21693 c,0.06472,,53.881,0.2644,0.24,,2011,Radial Velocity,HD 21693,,,,G9IV,,,,
HD 217107 b,1.33,,7.12689,0.073,0.132,,1998,Radial Velocity,HD 217107,0.37,1.02,1.08,G8 IV,7.32,5666,,
HD 217107 c,2.49,,4210,5.27,0.517,,1998,Radial Velocity,HD 217107,0.37,1.02,1.08,G8 IV,7.32,5666,,
HD 217786 b,13,,1319,2.38,0.4,,2010,Radial Velocity,HD 217786,-0.135,1.02,1.27,F8V,7.6,5966,,
HD 218566 b,0.21,,225.7,0.6873,0.3,,2010,Radial Velocity,HD 218566,0.38,0.85,0.86,K3V,8.5,4820,,
HD 219077 b,10.39,,5501,6.22,0.77,,2012,Radial Velocity,HD 219077,-0.13,1.05,,G8V,8.9,5362,,
HD 219134 b,0.012,0.1433,3.0931,0.038474,0,85.058,2015,Primary Transit,HD 219134,0.11,,0.778,K3V,,4699,,
HD 219134 c,0.011,,6.7635,0.064816,0,,2015,Radial Velocity,HD 219134,0.11,,0.778,K3V,,4699,,
HD 219134 d,0.067,,46.71,0.23508,0,,2015,Radial Velocity,HD 219134,0.11,,0.778,K3V,,4699,,
HD 219134 e,0.0117,,1190,2.56,0.34,,2015,Radial Velocity,HD 219134,0.11,,0.778,K3V,,4699,,
HD 219134 g,0.034,,94.2,0.3753,0,,2015,Radial Velocity,HD 219134,0.11,,0.778,K3V,,4699,,
HD 219134 h,0.28,,2198,3.064,0.37,,2015,Radial Velocity,HD 219134,0.11,,0.778,K3V,,4699,,
HD 219415 b,1,,2093.3,3.2,,,2012,Radial Velocity,HD 219415,-0.04,1,2.9,K0III,,4820,,
HD 219828 b,0.0661,,3.834887,0.045,0.059,,2007,Radial Velocity,HD 219828,0.19,1.24,1.7,G0IV,5.8,5891,,
HD 219828 c,15.1,,4791,5.96,0.8118,,2016,Radial Velocity,HD 219828,0.19,1.24,1.7,G0IV,5.8,5891,,
HD 220074 b,11.1,,672.1,1.6,0.14,,2012,Radial Velocity,HD 220074,-0.25,1.2,49.67,M2III,4.5,3935,,
HD 220689 b,1.06,,2209,3.36,0.16,,2011,Radial Velocity,HD 220689,,,,G3V,,,,
HD 220773 b,1.45,,3724.7,4.94,0.51,,2012,Radial Velocity,HD 220773,0.09,1.16,,F9,4.4,5940,,
HD 220842 b,3.18,,218.47,0.74,0.404,,2016,Radial Velocity,HD 220842,-0.17,1.13,,F8,,5920,,
HD 221287 b,3.09,,456.1,1.25,0.08,,2007,Radial Velocity,HD 221287,0.03,1.25,,F7 V,1.3,6304,,
HD 221585 b,1.61,,1173,2.306,0.123,,2016,Radial Velocity,HD 221585,0.29,1.19,,G8IV,6.2,5620,,
HD 222076 b,1.56,,871,1.83,0.08,,2016,Radial Velocity,HD 222076,0.05,1.07,4.14,,,4806,,
HD 222155 b,1.9,,3999,5.1,0.16,,2012,Radial Velocity,HD 222155,-0.11,1.13,1.67,G2V,8.2,5765,,
HD 222582 b,7.75,,572.38,1.35,0.725,,1999,Radial Velocity,HD 222582,-0.0229,0.99,1.15,G5,6.16,5662,,
HD 224538 b,5.97,,1189.1,2.28,0.464,,2016,Radial Velocity,HD 224538,0.27,1.54,1.34,F9IV/V,2,6097,,
HD 224693 b,0.71,,26.73,0.233,0.05,,2006,Radial Velocity,HD 224693,0.343,1.33,1.7,G2IV,2,6037,,
HD 22781 b,13.65,,528.07,1.167,0.8191,,2011,Radial Velocity,HD 22781,-0.37,0.75,,K0V,4.75,5027,,
HD 23079 b,2.45,,730.6,1.596,0.102,,2001,Radial Velocity,HD 23079,-0.24,1.1,1.13,F8/G0 V,6.53,5848,,
HD 23127 b,1.5,,1214,2.4,0.44,,2007,Radial Velocity,HD 23127,0.34,1.13,,G2V,7.1,5927,,
HD 231701 b,1.08,,141.89,0.53,0.096,,2007,Radial Velocity,HD 231701,0.07,1.14,1.35,F8V,4.9,6208,,
HD 233604 b,6.575,,192,0.747,0.05,,2013,Radial Velocity,HD 233604,-0.36,1.5,10.9,K5,2.4,4791,,
HD 23596 b,8.1,,1565,2.88,0.292,,2002,Radial Velocity,HD 23596,0.32,1.27,2.09,F8,6.89,5888,,
HD 240210 b,6.9,,501.75,1.33,0.15,,2009,Radial Velocity,HD 240210,-0.18,1.25,,K3III,,4290,,
HD 240237 b,5.3,,745.7,1.9,0.4,,2010,Radial Velocity,HD 240237,-0.26,1.69,32,K2III,,4361,,
HD 24040 b,4.01,,3668,4.92,0.04,,2006,Radial Velocity,HD 24040,0.206,1.18,,G0,6.68,5853,,
HD 24064 b,9.4,,555.6,1.29,0.35,,2015,Radial Velocity,HD 24064,-0.49,1,38,K0,9,4052.5,,
HD 25171 b,0.95,,1845,3.02,0.08,,2010,Radial Velocity,HD 25171,-0.11,1.09,1.18,F8V,2,6160,,
HD 2638 b,0.48,1.04,3.43752,0.044,0.0407,,2005,Radial Velocity,HD 2638,0.16,0.93,,G5,3,5192,,
HD 27442 b,1.35,,415.2,1.16,0.058,,2000,Radial Velocity,HD 27442,0.22,1.2,6.6,K2 IV a,7.15,4749,,
HD 27631 b,1.45,,2208,3.25,0.12,,2011,Radial Velocity,HD 27631,,,,G3IV,,,,
HD 27894 b,0.665,,18.02,0.125,0.047,,2005,Radial Velocity,HD 27894,0.3,0.8,,K2 V,3.9,4875,,
HD 27894 c,0.162,,36.07,0.198,0.015,,2017,Radial Velocity,HD 27894,0.3,0.8,,K2 V,3.9,4875,,
HD 27894 d,5.415,,5174,5.448,0.389,,2017,Radial Velocity,HD 27894,0.3,0.8,,K2 V,3.9,4875,,
HD 28185 b,5.7,,383,1.03,0.07,,2001,Radial Velocity,HD 28185,0.24,1.24,1.03,G5,5.36,5482,,
HD 28254 b,1.16,,1116,2.15,0.81,,2009,Radial Velocity,HD 28254,0.36,1.06,1.48,G1IV/V,,5664,,
HD 283668 b,53.4,,2558,3.3,0.577,,2016,Radial Velocity,HD 283668,-0.75,0.68,,,,4845,,
HD 284149 b,32,,,400,,,2014,Imaging,HD 284149,,1.14,,F8,0.025,6040,,
HD 285507 b,0.917,,6.0881,0.0729,0.086,,2013,Radial Velocity,HD 285507,0.13,0.734,0.656,K5,0.625,4503,,
HD 28678 b,1.7,,387.1,1.24,0.168,,2011,Radial Velocity,HD 28678,-0.11,1.74,6.2,K0D,1.8,5076,,
HD 29021 b,2.4,,1362.3,2.28,0.459,,2017,Radial Velocity,HD 29021,-0.24,0.85,0.85,G5,7.4,5560,,
HD 290327 b,2.54,,2443,3.43,0.08,,2009,Radial Velocity,HD 290327,-0.11,0.9,1,G8V,,5552,,
HD 2952 b,1.6,,311.6,1.2,0.129,,2013,Radial Velocity,HD 2952,0,2.54,12.02,K0III,,4844,,
HD 30177 b,8.07,,2532.5,3.58,0.18,,2002,Radial Velocity,HD 30177,0.33,1.05,1.12,G8 V,11.6,5580,,
HD 30177 c,3,,6921,6.99,0.35,,2016,Radial Velocity,HD 30177,0.33,1.05,1.12,G8 V,11.6,5580,,
HD 30562 b,1.29,,1157,2.3,0.76,,2009,Radial Velocity,HD 30562,0.243,1.219,1.637,F8V,4,5861,,
HD 30669 b,0.47,,1684,2.69,0.18,,2014,Radial Velocity,HD 30669,0.13,0.92,0.91,G9V,4.8,5400,,
HD 30856 b,1.8,,912,2,0.24,,2011,Radial Velocity,HD 30856,-0.06,1.35,4.2,K0III,3.8,4982,,
HD 31253 b,0.5,,466,1.26,0.3,,2010,Radial Velocity,HD 31253,0.16,1.23,1.71,F8,3,5960,,
HD 31527 b,0.0363,,16.546,0.1253,0.13,,2011,Radial Velocity,HD 31527,,,,G0V,,,,
HD 31527 c,0.0498,,51.284,0.2665,0.11,,2011,Radial Velocity,HD 31527,,,,G0V,,,,
HD 31527 d,0.0519,,274.49,0.8181,0.38,,2011,Radial Velocity,HD 31527,,,,G0V,,,,
HD 3167 b,0.0158,0.152,0.959641,0.01815,,83.4,2016,Primary Transit,HD 3167,0,0.88,,G,0.83,5367,,
HD 3167 c,0.0308,0.269,29.8454,0.1795,0.267,89.3,2016,Primary Transit,HD 3167,0,0.88,,G,0.83,5367,,
HD 3167 d,0.0217,,8.492,0.07757,0.36,,2017,Radial Velocity,HD 3167,0,0.88,,G,0.83,5367,,
HD 32518 b,3.04,,157.54,0.59,0.01,,2009,Radial Velocity,HD 32518,-0.15,1.13,10.22,K1III,5.83,4580,,
HD 32963 b,0.7,,2372,3.41,0.07,,2015,Radial Velocity,HD 32963,0.11,0.94,,G5IV,4.99,5727,,
HD 330075 b,0.62,1.06,3.6413,0.039,0.0187,,2004,Radial Velocity,HD 330075,0.03,0.95,,G5,6.21,6295,,
HD 33142 b,1.3,,326.6,1.06,0.22,,2011,Radial Velocity,HD 33142,0.05,1.48,4.2,K0III,3,5052,,
HD 33283 b,0.33,0.99,18.1801,0.168,0.458,,2006,Radial Velocity,HD 33283,0.366,1.24,1.2,G3V,3.2,5995,,
HD 33564 b,9.1,,388,1.1,0.34,,2005,Radial Velocity,HD 33564,-0.12,1.25,1.1,F6 V,3,6250,,
HD 33844 b,1.96,,551.4,1.6,0.15,,2013,Radial Velocity,HD 33844,,1.75,,,2.1,4827,,
HD 33844 c,1.75,,916,2.24,0.13,,2015,Radial Velocity,HD 33844,,1.75,,,2.1,4827,,
HD 34445 b,0.79,,1049,2.07,0.27,,2004,Radial Velocity,HD 34445,0.14,1.07,1.38,G0,8.5,5836,,
HD 35759 b,3.76,,82.467,0.389,0.389,,2016,Radial Velocity,HD 35759,0.04,1.15,,G0,,6060,,
HD 3651 b,0.231,,62.218,0.295,0.596,83,2003,Radial Velocity,HD 3651,0.05,0.79,0.947,K0 V,5.13,5173,,
HD 3651 c,0.09,,31,0.186,0.04,,2013,Radial Velocity,HD 3651,0.05,0.79,0.947,K0 V,5.13,5173,,
HD 37124 b,0.675,,154.378,0.53364,0.054,,1999,Radial Velocity,HD 37124,-0.442,0.83,0.82,G4 V,3.33,5610,,
HD 37124 c,0.652,,885.5,1.71,0.125,,2005,Radial Velocity,HD 37124,-0.442,0.83,0.82,G4 V,3.33,5610,,
HD 37124 d,0.696,,1862,2.807,0.16,,2003,Radial Velocity,HD 37124,-0.442,0.83,0.82,G4 V,3.33,5610,,
HD 37605 b,2.813,,55.01307,0.2837,0.6767,,2004,Radial Velocity,HD 37605,0.34,1,0.9,K0V,7,5448,,
HD 37605 c,3.366,,2720,3.814,0.013,,2012,Radial Velocity,HD 37605,0.34,1,0.9,K0V,7,5448,,
HD 38283 b,0.34,,363.2,1.02,0.41,,2011,Radial Velocity,HD 38283,-0.24,1.085,,F9.5V,5.4,5945,,
HD 38529 b,0.93,,14.3104,0.131,0.248,57,2000,Radial Velocity,HD 38529,0.27,1.48,2.44,G4 IV,3.28,5697,IR Excess,
HD 38529 c,23.7,,2134.76,3.695,0.36,48.3,2002,Radial Velocity,HD 38529,0.27,1.48,2.44,G4 IV,3.28,5697,IR Excess,
HD 38801 b,10.7,,696.3,1.7,0,,2010,Radial Velocity,HD 38801,0.26,1.36,2.53,K0IV,4.67,5222,,
HD 38858 b,0.0961,,407.15,1.0376,0.27,,2011,Radial Velocity,HD 38858,,,,G4V,,,IR Excess,
HD 39091 b,10.3,,2049,3.28,0.61,,2001,Radial Velocity,HD 39091,0.09,1.1,2.1,G1 IV,3.83,5888,,
HD 39194 b,0.0117,,5.6363,0.0519,0.2,,2011,Radial Velocity,HD 39194,,,,K0V,,,,
HD 39194 c,0.0187,,14.025,0.0954,0.11,,2011,Radial Velocity,HD 39194,,,,K0V,,,,
HD 39194 d,0.0162,,33.941,0.172,0.2,,2011,Radial Velocity,HD 39194,,,,K0V,,,,
HD 39392 b,13.2,,394.3,1.08,0.394,,2016,Radial Velocity,HD 39392,0.32,1.08,,F8,,5951,,
HD 40307 b,0.012,,4.3115,0.0475,0.2,,2008,Radial Velocity,HD 40307,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 c,0.0202,,9.6207,0.0812,0.06,,2008,Radial Velocity,HD 40307,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 d,0.0275,,20.4184,0.134,0.07,,2008,Radial Velocity,HD 40307,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 e,0.011,,34.62,0.1886,0.15,,2012,Radial Velocity,HD 40307,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 f,0.0114,,51.56,0.2485,0.02,,2012,Radial Velocity,HD 40307,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 g,0.0223,,197.8,0.6,0.29,,2012,Radial Velocity,HD 40307,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40979 b,4.01,,264.1,0.846,0.252,,2002,Radial Velocity,HD 40979,0.194,1.1,1.21,F8 V,1.48,6205,IR Excess,
HD 41004 A b,2.54,,963,1.64,0.39,,2004,Radial Velocity,HD 41004 A,-0.09,0.7,,K1 V,1.64,5035,,
HD 41004 B b,18.4,1.06,1.32363,0.0177,0.058,,2004,Radial Velocity,HD 41004 B,-0.01,0.4,,M2,1.56,5035,,
HD 4113 b,1.56,,526.62,1.28,0.903,,2007,Radial Velocity,HD 4113,0.2,0.99,,G5V,4.8,5688,,
HD 42012 b,1.6,,857.5,1.67,0,,2017,Radial Velocity,HD 42012,-0.09,0.83,0.82,K0,4.1,5405,,
HD 4203 b,1.82,,437.05,1.164,0.52,,2001,Radial Velocity,HD 4203,0.453,1.13,1.33,G5,9.41,5701,,
HD 4203 c,2.17,,6700,,0.24,,2014,Radial Velocity,HD 4203,0.453,1.13,1.33,G5,9.41,5701,,
HD 4208 b,0.804,,828,1.65,0.052,,2001,Radial Velocity,HD 4208,-0.284,0.87,0.85,G5 V,4.47,5571,,
HD 42618 b,0.0453,,149.61,0.554,0.19,,2016,Radial Velocity,HD 42618,-0.09,1.015,0.999,G4V,,5727,,
HD 4308 b,0.0405,,15.609,0.118,0.27,,2005,Radial Velocity,HD 4308,-0.34,0.85,0.92,G5 V,7.1,5597,,
HD 4313 b,2.3,,356,1.19,0.041,,2010,Radial Velocity,HD 4313,0.14,1.72,4.9,G5 D,2,5035,,
HD 43197 b,0.6,,327.8,0.92,0.83,,2009,Radial Velocity,HD 43197,0.4,0.96,1,G8V,,5508,,
HD 43691 b,2.49,,36.96,0.24,0.14,,2007,Radial Velocity,HD 43691,0.28,1.38,,G0IV,2.8,6200,,
HD 44219 b,0.58,,472.3,1.19,0.61,,2009,Radial Velocity,HD 44219,0.03,1,1.32,G2V,,5752,,
HD 45184 b,0.04,,5.8872,0.0638,0.3,,2011,Radial Velocity,HD 45184,,,,G1.5V,,,IR Excess,
HD 45350 b,1.79,,890.76,1.92,0.778,,2004,Radial Velocity,HD 45350,0.29,1.02,1.27,G5 IV,5.59,5754,,
HD 45364 b,0.1872,,226.93,0.6813,0.1684,,2009,Radial Velocity,HD 45364,-0.17,0.82,,K0V,,5434,,
HD 45364 c,0.6579,,342.85,0.8972,0.0974,,2009,Radial Velocity,HD 45364,-0.17,0.82,,K0V,,5434,,
HD 45652 b,0.47,,43.6,0.23,0.38,,2008,Radial Velocity,HD 45652,0.29,0.83,,G8-K0,,5312,,
HD 46375 b,0.23,1.02,3.02358,0.041,0.0524,,2000,Radial Velocity,HD 46375,0.24,0.91,1,K1 IV,4.96,5199,IR Excess,
HD 47186 b,0.07167,,4.0845,0.05,0.038,,2008,Radial Velocity,HD 47186,0.23,0.99,,G5V,,5675,,
HD 47186 c,0.35061,,1353.6,2.395,0.249,,2008,Radial Velocity,HD 47186,0.23,0.99,,G5V,,5675,,
HD 4732 b,2.37,,360.2,1.19,0.13,,2013,Radial Velocity,HD 4732,0.01,1.74,5.4,K0 IV,,4959,,
HD 4732 c,2.37,,2732,4.6,0.23,,2013,Radial Velocity,HD 4732,0.01,1.74,5.4,K0 IV,,4959,,
HD 47366 b,1.75,,363.3,1.214,0.089,,2016,Radial Velocity,HD 47366,-0.02,1.81,7.3,K1III,1.61,4866,,
HD 47366 c,1.86,,684.7,1.853,0.278,,2016,Radial Velocity,HD 47366,-0.02,1.81,7.3,K1III,1.61,4866,,
HD 4747 b,60.2,,13835.67,16.4,0.74,66.8,2016,Radial Velocity,HD 4747,-0.22,0.82,0.79,G9V,3.3,5340,,
HD 47536 b,5,,430,1.61,0.2,,2003,Radial Velocity,HD 47536,-0.68,0.94,23.47,K1 III,9.33,4380,,
HD 48265 b,1.16,,700,1.51,0.18,,2008,Radial Velocity,HD 48265,0.17,0.93,,G5V,,,,
HD 49674 b,0.1,0.98,4.94739,0.058,0.0495,,2002,Radial Velocity,HD 49674,0.25,1.07,0.94,G5 V,2.38,5482,,
HD 50499 b,1.71,,2482.7,3.86,0.23,,2005,Radial Velocity,HD 50499,0.23,1.27,1.38,G IV,6,5902,IR Excess,
HD 50554 b,5.16,,1293,2.41,0.5,,2002,Radial Velocity,HD 50554,-0.07,1.04,1.11,F8,4.58,5902,IR Excess,
