# name,mass (Mjup),Radio (Rjup),Periodo (dias),Semi eje (ua),Excen,inclination,Año,Metodo,Nombre estr,Metalicidad,Masa estr (Msol),Radio (Rsol),Tipo espectral,Edad (gyr),Teff,Disco detectado,Campo magnetico
AB Pic b,13.5,,,275,,,2005,Imaging,AB Pic,-0.64,,,K2 V,0.03,4875,,
AS 205 A b,19.25,,24.84,0.162,0.35,,2017,Radial Velocity,AS 205A,0,0.9,3.7,K5,,4300,,
Aldebaran b,6.47,,628.96,1.46,0.1,,1998,Radial Velocity,Aldebaran,-0.27,1.13,45.1,K5III,6.6,4055,,
BD+03 2562 b,6.4,,481.9,1.3,0.2,,2017,Radial Velocity,BD+03 2562,-0.71,1.14,32.35,,5.25,4095,,
BD+14 4559 b,1.47,,268.94,0.777,0.29,,2009,Radial Velocity,BD+14 4559,0.1,0.86,,K2V,,5008,,
BD+15 2375 b,1.06,,153.22,0.576,0.001,,2016,Radial Velocity,BD+15 2375,-0.22,1.08,8.95,,7.4,4649,,
BD+15 2940 b,1.11,,137.48,0.539,0.26,,2013,Radial Velocity,BD+15 2940,0.28,1.1,14.7,K0,7.1,4796,,
BD+20 1790 b,6.37,,7.78287,0.066,0.22,,2009,Other,BD+20 1790,0.3,0.63,0.71,K5V,0.057,4410,,Yes
BD+20 2457 b,21.42,,379.63,1.45,0.15,,2009,Radial Velocity,BD+20 2457,-1,2.8,,K2II,,4127,,
BD+20 2457 c,12.47,,621.99,2.01,0.18,,2009,Radial Velocity,BD+20 2457,-1,2.8,,K2II,,4127,,
BD+20 274 c,4.2,,578.2,1.3,,,2012,Radial Velocity,BD+20 274,-0.46,0.8,17.3,K5,,4296,,
BD+20 594 b,0.0513,0.199,41.6855,0.241,0,89.55,2016,Primary Transit,BD+20 594,-0.15,0.961,0.928,K0 ,3.34,5766,,
BD+24 4697 b,53,,145.081,0.5,0.50048,,2016,Radial Velocity,BD+24 4697,-0.11,0.75,,,,5077,,
BD+26 1888 b,26,,536.78,1.19,0.2675,,2016,Radial Velocity,BD+26 1888,0.02,0.76,,K7,,4748,,
BD+48 738 b,0.91,,392.6,1,0.2,,2011,Radial Velocity,BD +48 738,-0.2,0.74,11,K0III,,4414,,
BD+49 828 b,1.6,,2590,4.2,0.35,,2015,Radial Velocity,BD+49 828,-0.19,1.52,7.6,KO,2.3,4943,,
BD-06 1339 b,0.027,,3.8728,0.0428,0,,2013,Radial Velocity,BD-06 1339,-0.14,0.7,,K7V/M0V,4.4,4324,,
BD-06 1339 c,0.17,,125.94,0.435,0,,2013,Radial Velocity,BD-06 1339,-0.14,0.7,,K7V/M0V,4.4,4324,,
BD-06 1339 d,0.091,,500,1.06,0.04,,2014,Radial Velocity,BD-06 1339,-0.14,0.7,,K7V/M0V,4.4,4324,,
BD-08 2823 b,0.045,,5.6,0.056,0.15,,2009,Radial Velocity,BD-08 2823,-0.07,0.74,,K3V,4.5,4746,,
BD-08 2823 c,0.33,,237.6,0.68,0.19,,2009,Radial Velocity,BD-08 2823,-0.07,0.74,,K3V,4.5,4746,,
BD-10 3166 b,0.46,1.03,3.4878,0.046,0.0104,,2000,Radial Velocity,BD-10 3166,0.5,0.99,1.71,G4 V,4.18,5400,,
BD-11 4672 b,0.53,,1667,2.28,0.05,,2010,Radial Velocity,BD-11 4672,-0.48,0.571,0.52,K7V,4.4,4475,,
BD-17 63 b,5.1,,655.6,1.34,0.54,,2008,Radial Velocity,BD-17 63,-0.03,0.74,0.69,K5V,4.3,4714,,
CD-35 2722 b,31,,,67,,,2011,Imaging,CD-35 2722,0.04,0.4,,M1V,0.1,3680,,
CFBDS 1458 ,25.2,,,,,,2010,Imaging,CFBDS 1458,,0.024,,T9.5,3,560,,
CFBDS 1458 b,10.5,,14227,2.6,,,2011,Imaging,CFBDS 1458,,0.024,,T9.5,3,560,,
CFBDSIR J2149-0403,21,,,,,,2017,Imaging,CFBDSIR J2149-0403,,,,T7,,,,
CHXR 73 b,12,,,200,,,2006,Imaging,CHXR 73,,0.35,,M3.25,0.002,,,
CI Tau b,12.31,,8.9965,,,45.7,2016,Radial Velocity,CI Tau,,0.8,,K4IV,0.002,,,
CT Cha b,17,2.2,,440,,,2008,Imaging,CT Cha,,,,K7,0.002,,,
CVSO 30 b ,6.2,1.91,0.448413,0.00838,,61.8,2012,Primary Transit,CVSO 30,,0.39,1.39,M3 PMS,0.00265,3740,,
CVSO 30 c,4.7,1.63,,662,,,2016,Imaging,CVSO 30,,0.39,1.39,M3 PMS,0.00265,3740,,
CoRoT-1 b,1.03,1.49,1.5089557,0.0254,0,85.1,2007,Primary Transit,CoRoT-1,0.06,0.95,1.11,G0V,,6298,,
CoRoT-10 b,2.75,0.97,13.2406,0.1055,0.53,88.55,2010,Primary Transit,CoRoT-10,0.26,0.89,0.79,K1V,3,5075,,
CoRoT-11 b,2.33,1.43,2.994325,0.04351,0,81.41,2010,Primary Transit,CoRoT-11,0.04,1.27,1.36,F6V,2,6343,,
CoRoT-12 b,0.917,1.44,2.828042,0.04016,0.07,85.48,2010,Primary Transit,CoRoT-12,0.16,1.078,1.116,G2V,6.3,5675,,
CoRoT-13 b,1.308,0.885,4.03519,0.051,0,88.02,2010,Primary Transit,CoRoT-13,0.01,1.09,1.01,G0V,1.64,5945,,
CoRoT-14 b,7.6,1.09,1.51214,0.027,0,79.6,2010,Primary Transit,CoRoT-14,0.05,1.13,1.21,F9V,4.2,6035,,
CoRoT-15 b,63.4,1.12,3.06036,0.045,0,86.7,2010,Primary Transit,CoRoT-15,,,,F7V,,,,
CoRoT-16 b,0.535,1.17,5.35227,0.0618,0.33,85.01,2010,Primary Transit,CoRoT-16,0.19,1.098,1.19,G5V,6.73,5650,,
CoRoT-17 b,2.43,1.02,3.768125,0.0461,0,88.34,2010,Primary Transit,CoRoT-17,0,1.04,1.59,G2V,10.7,5740,,
CoRoT-18 b,3.47,1.31,1.9000693,0.0295,0.08,86.5,2011,Primary Transit,CoRoT-18,-0.1,0.95,1,G9V,,5440,,
CoRoT-19 b,1.11,1.29,3.89713,0.0518,0.047,87.61,2011,Primary Transit,CoRoT-19,-0.02,1.21,1.65,F9V,5,6090,,
CoRoT-2 b,3.31,1.465,1.7429964,0.0281,0,87.84,2007,Primary Transit,CoRoT-2,-0.04,0.97,0.902,G7V,,5575,,
CoRoT-20 b,4.24,0.84,9.24285,0.0902,0.562,88.21,2011,Primary Transit,CoRoT-20,0.14,1.14,0.92,G2V,0.1,5880,,
CoRoT-21 b,2.26,1.3,2.72474,0.0417,0,86.8,2011,Primary Transit,CoRoT-21,0,1.29,1.945,F8IV,4.1,6200,,
CoRoT-22 b,0.0383853,0.435365216,9.75598,0.092,0.077,89.749,2011,Primary Transit,CoRoT-22,0.17,1.099,1.136,G0IV,3.3,5939,,
CoRoT-23 b,2.8,1.08,3.6314,0.0477,0.16,85.7,2011,Primary Transit,CoRoT-23,0.05,1.14,1.61,G0V,7.2,5900,,
CoRoT-24 b,0.018,0.33,5.1134,0.056,0,86.5,2011,Primary Transit,CoRoT-24,0.3,0.91,0.86,K1V,11,4950,,
CoRoT-24 c,0.088,0.44,11.759,0.098,0,89,2011,Primary Transit,CoRoT-24,0.3,0.91,0.86,K1V,11,4950,,
CoRoT-25 b,0.27,1.08,4.86069,0.0578,,84.5,2012,Primary Transit,CoRoT-25,-0.01,1.09,1.19,G0V,5.2,6040,,
CoRoT-26 b,0.52,1.26,4.20474,0.0526,0,86.8,2012,Primary Transit,CoRoT-26,0.01,1.09,1.79,G8IV,8.6,5590,,
CoRoT-27 b,10.39,1.007,3.57532,0.0476,0.065,86.7,2012,Primary Transit,CoRoT-27,0.1,1.05,1.08,G2,4.21,5900,,
CoRoT-28 b,0.484,0.955,5.20851,0.059,0.047,,2012,Primary Transit,CoRoT-28,0.15,1.01,1.78,G8/9IV,12,5150,,
CoRoT-29 b,0.85,0.9,2.85057,0.039,0.082,87.3,2012,Primary Transit,CoRoT-29,0.2,0.976,0.9,KOV,4.5,5260,,
CoRoT-3 b,21.77,1.01,4.2567994,0.057,0,85.9,2008,Primary Transit,CoRoT-3,0.14,1.41,1.44,F3V,2,6558,,
CoRoT-33 b,59.2,1.1,5.819143,0.0579,0.07,85.5,2015,Primary Transit,CoRoT-33,0.44,0.86,0.94,G9V,4.6,5225,,
CoRoT-4 b,0.72,1.19,9.20205,0.09,0,90,2008,Primary Transit,CoRoT-4,0.05,1.1,1.15,F8V,1,6190,,
CoRoT-5 b,0.467,1.33,4.0378962,0.04947,0.09,85.83,2008,Primary Transit,CoRoT-5,-0.25,1,1.186,F9V,6.9,6100,,
CoRoT-6 b,2.96,1.166,8.886593,0.0855,0.1,89.07,2009,Primary Transit,CoRoT-6,-0.2,1.055,1.025,F9V,,6090,,
CoRoT-7 b,0.0149,0.136,0.853585,0.0172,0.12,80.1,2009,Primary Transit,CoRoT-7,0.03,0.93,0.87,K0V,1.5,5313,,
CoRoT-7 c,0.04266,,3.698,0.046,0.12,,2009,Radial Velocity,CoRoT-7,0.03,0.93,0.87,K0V,1.5,5313,,
CoRoT-8 b,0.215838656,0.569186492,6.21229,0.063,0,88.4,2010,Primary Transit,CoRoT-8,0.3,0.88,0.77,K1V,3,5080,,
CoRoT-9 b,0.84,0.94,95.273804,0.407,0.11,89.9,2010,Primary Transit,CoRoT-9,-0.01,0.99,0.94,G3V,4,5625,,
DE0823-49 b,31.5,,247.75,0.36,0.36,52.2,2013,Imaging,DE0823-49,,0.045,,,0.1,2150,,
DH Tau b,11,,,330,,,2005,Imaging,DH Tau,,0.37,,M0.5V,0.001,,,
DP Leo b,6.05,,10230,8.19,0.39,,2009,Pulsar,DP Leo,,0.69,,AM Her,,,,
DW Lyn b,5.58,,,1148,,,2013,Radial Velocity,DW Lyn,,,,SdB D,,,,
DW Uma b,10.06,,4967,5.8,,,2016,Other,DW Uma,,,,M3,,,,
EPIC 201295312 b,0.0379,0.245,5.65639,,0.12,86.6,2016,Primary Transit,EPIC 201295312,0.13,1.13,1.52,,,5830,,
EPIC 201445392 c,,0.215,2.50856,,,,2015,Primary Transit,K2-8,-0.01,0.79,0.74,,,4890,,
EPIC 201637175 b,1.4,0.25,0.381071,0.0088,,,2015,Primary Transit,EPIC 201637175 ,0.03,0.6,0.57,M0V,,3830,,
EPIC 201713348 b,,0.118,1.42266,,,,2015,Primary Transit,EPIC 201713348,-0.03,0.8,0.74,,,4924,,
EPIC 201713348 c,,0.25,5.34059,,,,2015,Primary Transit,EPIC 201713348,-0.03,0.8,0.74,,,4924,,
EPIC 203826436 b,,0.144,4.44117,,,,2015,Primary Transit,EPIC 203826436,-0.03,0.9,0.85,G3V,,5413,,
