,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
609,HD 217107 C,Radial Velocity,,4210,5.27,0.517,,2.49,,,,,,1998,5666,1.02,1.08,G8 IV,,0.37,,7.32,
610,HD 217786 B,Radial Velocity,,1319,2.38,0.4,,13,,,,,,2010,5966,1.02,1.27,F8V,,-0.135,,7.6,
611,HD 218566 B,Radial Velocity,,225.7,0.6873,0.3,,0.21,,,,,,2010,4820,0.85,0.86,K3V,,0.38,,8.5,
612,HD 219077 B,Radial Velocity,,5501,6.22,0.77,,10.39,,,,,,2012,5362,1.05,,G8V,,-0.13,,8.9,
613,HD 219134 B,Primary Transit,,3.0931,0.038474,0,85.058,0.012,,,0.1433,,,2015,4699,,0.778,K3V,,0.11,,,
614,HD 219134 C,Radial Velocity,,6.7635,0.064816,0,,0.011,,,,,,2015,4699,,0.778,K3V,,0.11,,,
615,HD 219134 D,Radial Velocity,,46.71,0.23508,0,,0.067,,,,,,2015,4699,,0.778,K3V,,0.11,,,
616,HD 219134 E,Radial Velocity,,1190,2.56,0.34,,0.0117,,,,,,2015,4699,,0.778,K3V,,0.11,,,
617,HD 219134 G,Radial Velocity,,94.2,0.3753,0,,0.034,,,,,,2015,4699,,0.778,K3V,,0.11,,,
618,HD 219134 H,Radial Velocity,,2198,3.064,0.37,,0.28,,,,,,2015,4699,,0.778,K3V,,0.11,,,
619,HD 219415 B,Radial Velocity,,2093.3,3.2,,,1,,,,,,2012,4820,1,2.9,K0III,,-0.04,,,
620,HD 219828 B,Radial Velocity,,3.834887,0.045,0.059,,0.0661,,,,,,2007,5891,1.24,1.7,G0IV,,0.19,,5.8,
621,HD 219828 C,Radial Velocity,,4791,5.96,0.8118,,15.1,,,,,,2016,5891,1.24,1.7,G0IV,,0.19,,5.8,
622,HD 220074 B,Radial Velocity,,672.1,1.6,0.14,,11.1,,,,,,2012,3935,1.2,49.67,M2III,,-0.25,,4.5,
623,HD 220689 B,Radial Velocity,,2209,3.36,0.16,,1.06,,,,,,2011,,,,G3V,,,,,
624,HD 220773 B,Radial Velocity,,3724.7,4.94,0.51,,1.45,,,,,,2012,5940,1.16,,F9,,0.09,,4.4,
625,HD 220842 B,Radial Velocity,,218.47,0.74,0.404,,3.18,,,,,,2016,5920,1.13,,F8,,-0.17,,,
626,HD 221287 B,Radial Velocity,,456.1,1.25,0.08,,3.09,,,,,,2007,6304,1.25,,F7 V,,0.03,,1.3,
627,HD 221585 B,Radial Velocity,,1173,2.306,0.123,,1.61,,,,,,2016,5620,1.19,,G8IV,,0.29,,6.2,
628,HD 222076 B,Radial Velocity,,871,1.83,0.08,,1.56,,,,,,2016,4806,1.07,4.14,,,0.05,,,
629,HD 222155 B,Radial Velocity,,3999,5.1,0.16,,1.9,,,,,,2012,5765,1.13,1.67,G2V,,-0.11,,8.2,
630,HD 222582 B,Radial Velocity,,572.38,1.35,0.725,,7.75,,,,,,1999,5662,0.99,1.15,G5,,-0.0229,,6.16,
631,HD 224538 B,Radial Velocity,,1189.1,2.28,0.464,,5.97,,,,,,2016,6097,1.54,1.34,F9IV/V,,0.27,,2,
632,HD 224693 B,Radial Velocity,,26.73,0.233,0.05,,0.71,,,,,,2006,6037,1.33,1.7,G2IV,,0.343,,2,
633,HD 22781 B,Radial Velocity,,528.07,1.167,0.8191,,13.65,,,,,,2011,5027,0.75,,K0V,,-0.37,,4.75,
634,HD 23079 B,Radial Velocity,,730.6,1.596,0.102,,2.45,,,,,,2001,5848,1.1,1.13,F8/G0 V,,-0.24,,6.53,
635,HD 23127 B,Radial Velocity,,1214,2.4,0.44,,1.5,,,,,,2007,5927,1.13,,G2V,,0.34,,7.1,
636,HD 231701 B,Radial Velocity,,141.89,0.53,0.096,,1.08,,,,,,2007,6208,1.14,1.35,F8V,,0.07,,4.9,
637,HD 233604 B,Radial Velocity,,192,0.747,0.05,,6.575,,,,,,2013,4791,1.5,10.9,K5,,-0.36,,2.4,
638,HD 23596 B,Radial Velocity,,1565,2.88,0.292,,8.1,,,,,,2002,5888,1.27,2.09,F8,,0.32,,6.89,
639,HD 240210 B,Radial Velocity,,501.75,1.33,0.15,,6.9,,,,,,2009,4290,1.25,,K3III,,-0.18,,,
640,HD 240237 B,Radial Velocity,,745.7,1.9,0.4,,5.3,,,,,,2010,4361,1.69,32,K2III,,-0.26,,,
641,HD 24040 B,Radial Velocity,,3668,4.92,0.04,,4.01,,,,,,2006,5853,1.18,,G0,,0.206,,6.68,
642,HD 24064 B,Radial Velocity,,555.6,1.29,0.35,,9.4,,,,,,2015,4052.5,1,38,K0,,-0.49,,9,
643,HD 25171 B,Radial Velocity,,1845,3.02,0.08,,0.95,,,,,,2010,6160,1.09,1.18,F8V,,-0.11,,2,
644,HD 2638 B,Radial Velocity,,3.43752,0.044,0.0407,,0.48,,,1.04,,,2005,5192,0.93,,G5,,0.16,,3,
645,HD 27442 B,Radial Velocity,,415.2,1.16,0.058,,1.35,,,,,,2000,4749,1.2,6.6,K2 IV a,,0.22,,7.15,
646,HD 27631 B,Radial Velocity,,2208,3.25,0.12,,1.45,,,,,,2011,,,,G3IV,,,,,
647,HD 27894 B,Radial Velocity,,18.02,0.125,0.047,,0.665,,,,,,2005,4875,0.8,,K2 V,,0.3,,3.9,
648,HD 27894 C,Radial Velocity,,36.07,0.198,0.015,,0.162,,,,,,2017,4875,0.8,,K2 V,,0.3,,3.9,
649,HD 27894 D,Radial Velocity,,5174,5.448,0.389,,5.415,,,,,,2017,4875,0.8,,K2 V,,0.3,,3.9,
650,HD 28185 B,Radial Velocity,,383,1.03,0.07,,5.7,,,,,,2001,5482,1.24,1.03,G5,,0.24,,5.36,
651,HD 28254 B,Radial Velocity,,1116,2.15,0.81,,1.16,,,,,,2009,5664,1.06,1.48,G1IV/V,,0.36,,,
652,HD 283668 B,Radial Velocity,,2558,3.3,0.577,,53.4,,,,,,2016,4845,0.68,,,,-0.75,,,
653,HD 284149 B,Imaging,,,400,,,32,,,,,,2014,6040,1.14,,F8,,,,0.025,
654,HD 285507 B,Radial Velocity,,6.0881,0.0729,0.086,,0.917,,,,,,2013,4503,0.734,0.656,K5,,0.13,,0.625,
655,HD 28678 B,Radial Velocity,,387.1,1.24,0.168,,1.7,,,,,,2011,5076,1.74,6.2,K0D,,-0.11,,1.8,
656,HD 29021 B,Radial Velocity,,1362.3,2.28,0.459,,2.4,,,,,,2017,5560,0.85,0.85,G5,,-0.24,,7.4,
657,HD 290327 B,Radial Velocity,,2443,3.43,0.08,,2.54,,,,,,2009,5552,0.9,1,G8V,,-0.11,,,
658,HD 2952 B,Radial Velocity,,311.6,1.2,0.129,,1.6,,,,,,2013,4844,2.54,12.02,K0III,,0,,,
659,HD 30177 B,Radial Velocity,,2532.5,3.58,0.18,,8.07,,,,,,2002,5580,1.05,1.12,G8 V,,0.33,,11.6,
660,HD 30177 C,Radial Velocity,,6921,6.99,0.35,,3,,,,,,2016,5580,1.05,1.12,G8 V,,0.33,,11.6,
661,HD 30562 B,Radial Velocity,,1157,2.3,0.76,,1.29,,,,,,2009,5861,1.219,1.637,F8V,,0.243,,4,
662,HD 30669 B,Radial Velocity,,1684,2.69,0.18,,0.47,,,,,,2014,5400,0.92,0.91,G9V,,0.13,,4.8,
663,HD 30856 B,Radial Velocity,,912,2,0.24,,1.8,,,,,,2011,4982,1.35,4.2,K0III,,-0.06,,3.8,
664,HD 31253 B,Radial Velocity,,466,1.26,0.3,,0.5,,,,,,2010,5960,1.23,1.71,F8,,0.16,,3,
665,HD 31527 B,Radial Velocity,,16.546,0.1253,0.13,,0.0363,,,,,,2011,,,,G0V,,,,,
666,HD 31527 C,Radial Velocity,,51.284,0.2665,0.11,,0.0498,,,,,,2011,,,,G0V,,,,,
667,HD 31527 D,Radial Velocity,,274.49,0.8181,0.38,,0.0519,,,,,,2011,,,,G0V,,,,,
668,HD 3167 B,Primary Transit,,0.959641,0.01815,,83.4,0.0158,,,0.152,,,2016,5367,0.88,,G,,0,,0.83,
669,HD 3167 C,Primary Transit,,29.8454,0.1795,0.267,89.3,0.0308,,,0.269,,,2016,5367,0.88,,G,,0,,0.83,
670,HD 3167 D,Radial Velocity,,8.492,0.07757,0.36,,0.0217,,,,,,2017,5367,0.88,,G,,0,,0.83,
671,HD 32518 B,Radial Velocity,,157.54,0.59,0.01,,3.04,,,,,,2009,4580,1.13,10.22,K1III,,-0.15,,5.83,
672,HD 32963 B,Radial Velocity,,2372,3.41,0.07,,0.7,,,,,,2015,5727,0.94,,G5IV,,0.11,,4.99,
673,HD 330075 B,Radial Velocity,,3.6413,0.039,0.0187,,0.62,,,1.06,,,2004,6295,0.95,,G5,,0.03,,6.21,
674,HD 33142 B,Radial Velocity,,326.6,1.06,0.22,,1.3,,,,,,2011,5052,1.48,4.2,K0III,,0.05,,3,
675,HD 33283 B,Radial Velocity,,18.1801,0.168,0.458,,0.33,,,0.99,,,2006,5995,1.24,1.2,G3V,,0.366,,3.2,
676,HD 33564 B,Radial Velocity,,388,1.1,0.34,,9.1,,,,,,2005,6250,1.25,1.1,F6 V,,-0.12,,3,
677,HD 33844 B,Radial Velocity,,551.4,1.6,0.15,,1.96,,,,,,2013,4827,1.75,,,,,,2.1,
678,HD 33844 C,Radial Velocity,,916,2.24,0.13,,1.75,,,,,,2015,4827,1.75,,,,,,2.1,
679,HD 34445 B,Radial Velocity,,1049,2.07,0.27,,0.79,,,,,,2004,5836,1.07,1.38,G0,,0.14,,8.5,
680,HD 35759 B,Radial Velocity,,82.467,0.389,0.389,,3.76,,,,,,2016,6060,1.15,,G0,,0.04,,,
681,HD 3651 B,Radial Velocity,,62.218,0.295,0.596,83,0.231,,,,,,2003,5173,0.79,0.947,K0 V,,0.05,,5.13,
682,HD 3651 C,Radial Velocity,,31,0.186,0.04,,0.09,,,,,,2013,5173,0.79,0.947,K0 V,,0.05,,5.13,
683,HD 37124 B,Radial Velocity,,154.378,0.53364,0.054,,0.675,,,,,,1999,5610,0.83,0.82,G4 V,,-0.442,,3.33,
684,HD 37124 C,Radial Velocity,,885.5,1.71,0.125,,0.652,,,,,,2005,5610,0.83,0.82,G4 V,,-0.442,,3.33,
685,HD 37124 D,Radial Velocity,,1862,2.807,0.16,,0.696,,,,,,2003,5610,0.83,0.82,G4 V,,-0.442,,3.33,
686,HD 37605 B,Radial Velocity,,55.01307,0.2837,0.6767,,2.813,,,,,,2004,5448,1,0.9,K0V,,0.34,,7,
687,HD 37605 C,Radial Velocity,,2720,3.814,0.013,,3.366,,,,,,2012,5448,1,0.9,K0V,,0.34,,7,
688,HD 38283 B,Radial Velocity,,363.2,1.02,0.41,,0.34,,,,,,2011,5945,1.085,,F9.5V,,-0.24,,5.4,
689,HD 38529 B,Radial Velocity,,14.3104,0.131,0.248,57,0.93,,,,,,2000,5697,1.48,2.44,G4 IV,,0.27,,3.28,
690,HD 38529 C,Radial Velocity,,2134.76,3.695,0.36,48.3,23.7,,,,,,2002,5697,1.48,2.44,G4 IV,,0.27,,3.28,
691,HD 38801 B,Radial Velocity,,696.3,1.7,0,,10.7,,,,,,2010,5222,1.36,2.53,K0IV,,0.26,,4.67,
692,HD 38858 B,Radial Velocity,,407.15,1.0376,0.27,,0.0961,,,,,,2011,,,,G4V,,,,,
693,HD 39091 B,Radial Velocity,,2049,3.28,0.61,,10.3,,,,,,2001,5888,1.1,2.1,G1 IV,,0.09,,3.83,
694,HD 39194 B,Radial Velocity,,5.6363,0.0519,0.2,,0.0117,,,,,,2011,,,,K0V,,,,,
695,HD 39194 C,Radial Velocity,,14.025,0.0954,0.11,,0.0187,,,,,,2011,,,,K0V,,,,,
696,HD 39194 D,Radial Velocity,,33.941,0.172,0.2,,0.0162,,,,,,2011,,,,K0V,,,,,
697,HD 39392 B,Radial Velocity,,394.3,1.08,0.394,,13.2,,,,,,2016,5951,1.08,,F8,,0.32,,,
698,HD 40307 B,Radial Velocity,,4.3115,0.0475,0.2,,0.012,,,,,,2008,4977,0.77,,K2.5V,,-0.31,,,
699,HD 40307 C,Radial Velocity,,9.6207,0.0812,0.06,,0.0202,,,,,,2008,4977,0.77,,K2.5V,,-0.31,,,
700,HD 40307 D,Radial Velocity,,20.4184,0.134,0.07,,0.0275,,,,,,2008,4977,0.77,,K2.5V,,-0.31,,,
701,HD 40307 E,Radial Velocity,,34.62,0.1886,0.15,,0.011,,,,,,2012,4977,0.77,,K2.5V,,-0.31,,,
702,HD 40307 F,Radial Velocity,,51.56,0.2485,0.02,,0.0114,,,,,,2012,4977,0.77,,K2.5V,,-0.31,,,
703,HD 40307 G,Radial Velocity,,197.8,0.6,0.29,,0.0223,,,,,,2012,4977,0.77,,K2.5V,,-0.31,,,
704,HD 40979 B,Radial Velocity,,264.1,0.846,0.252,,4.01,,,,,,2002,6205,1.1,1.21,F8 V,,0.194,,1.48,
705,HD 41004 A B,Radial Velocity,,963,1.64,0.39,,2.54,,,,,,2004,5035,0.7,,K1 V,,-0.09,,1.64,
706,HD 41004 B B,Radial Velocity,,1.32363,0.0177,0.058,,18.4,,,1.06,,,2004,5035,0.4,,M2,,-0.01,,1.56,
707,HD 4113 B,Radial Velocity,,526.62,1.28,0.903,,1.56,,,,,,2007,5688,0.99,,G5V,,0.2,,4.8,
708,HD 42012 B,Radial Velocity,,857.5,1.67,0,,1.6,,,,,,2017,5405,0.83,0.82,K0,,-0.09,,4.1,
709,HD 4203 B,Radial Velocity,,437.05,1.164,0.52,,1.82,,,,,,2001,5701,1.13,1.33,G5,,0.453,,9.41,
710,HD 4203 C,Radial Velocity,,6700,,0.24,,2.17,,,,,,2014,5701,1.13,1.33,G5,,0.453,,9.41,
711,HD 4208 B,Radial Velocity,,828,1.65,0.052,,0.804,,,,,,2001,5571,0.87,0.85,G5 V,,-0.284,,4.47,
712,HD 42618 B,Radial Velocity,,149.61,0.554,0.19,,0.0453,,,,,,2016,5727,1.015,0.999,G4V,,-0.09,,,
713,HD 4308 B,Radial Velocity,,15.609,0.118,0.27,,0.0405,,,,,,2005,5597,0.85,0.92,G5 V,,-0.34,,7.1,
714,HD 4313 B,Radial Velocity,,356,1.19,0.041,,2.3,,,,,,2010,5035,1.72,4.9,G5 D,,0.14,,2,
715,HD 43197 B,Radial Velocity,,327.8,0.92,0.83,,0.6,,,,,,2009,5508,0.96,1,G8V,,0.4,,,
716,HD 43691 B,Radial Velocity,,36.96,0.24,0.14,,2.49,,,,,,2007,6200,1.38,,G0IV,,0.28,,2.8,
717,HD 44219 B,Radial Velocity,,472.3,1.19,0.61,,0.58,,,,,,2009,5752,1,1.32,G2V,,0.03,,,
718,HD 45184 B,Radial Velocity,,5.8872,0.0638,0.3,,0.04,,,,,,2011,,,,G1.5V,,,,,
719,HD 45350 B,Radial Velocity,,890.76,1.92,0.778,,1.79,,,,,,2004,5754,1.02,1.27,G5 IV,,0.29,,5.59,
720,HD 45364 B,Radial Velocity,,226.93,0.6813,0.1684,,0.1872,,,,,,2009,5434,0.82,,K0V,,-0.17,,,
721,HD 45364 C,Radial Velocity,,342.85,0.8972,0.0974,,0.6579,,,,,,2009,5434,0.82,,K0V,,-0.17,,,
722,HD 45652 B,Radial Velocity,,43.6,0.23,0.38,,0.47,,,,,,2008,5312,0.83,,G8-K0,,0.29,,,
723,HD 46375 B,Radial Velocity,,3.02358,0.041,0.0524,,0.23,,,1.02,,,2000,5199,0.91,1,K1 IV,,0.24,,4.96,
724,HD 47186 B,Radial Velocity,,4.0845,0.05,0.038,,0.07167,,,,,,2008,5675,0.99,,G5V,,0.23,,,
725,HD 47186 C,Radial Velocity,,1353.6,2.395,0.249,,0.35061,,,,,,2008,5675,0.99,,G5V,,0.23,,,
726,HD 4732 B,Radial Velocity,,360.2,1.19,0.13,,2.37,,,,,,2013,4959,1.74,5.4,K0 IV,,0.01,,,
727,HD 4732 C,Radial Velocity,,2732,4.6,0.23,,2.37,,,,,,2013,4959,1.74,5.4,K0 IV,,0.01,,,
728,HD 47366 B,Radial Velocity,,363.3,1.214,0.089,,1.75,,,,,,2016,4866,1.81,7.3,K1III,,-0.02,,1.61,
729,HD 47366 C,Radial Velocity,,684.7,1.853,0.278,,1.86,,,,,,2016,4866,1.81,7.3,K1III,,-0.02,,1.61,
730,HD 4747 B,Radial Velocity,,13835.67,16.4,0.74,66.8,60.2,,,,,,2016,5340,0.82,0.79,G9V,,-0.22,,3.3,
731,HD 47536 B,Radial Velocity,,430,1.61,0.2,,5,,,,,,2003,4380,0.94,23.47,K1 III,,-0.68,,9.33,
732,HD 48265 B,Radial Velocity,,700,1.51,0.18,,1.16,,,,,,2008,,0.93,,G5V,,0.17,,,
733,HD 49674 B,Radial Velocity,,4.94739,0.058,0.0495,,0.1,,,0.98,,,2002,5482,1.07,0.94,G5 V,,0.25,,2.38,
734,HD 50499 B,Radial Velocity,,2482.7,3.86,0.23,,1.71,,,,,,2005,5902,1.27,1.38,G IV,,0.23,,6,
735,HD 50554 B,Radial Velocity,,1293,2.41,0.5,,5.16,,,,,,2002,5902,1.04,1.11,F8,,-0.07,,4.58,
736,HD 51608 B,Radial Velocity,,14.07,0.1059,0.15,,0.0413,,,,,,2011,,,,K0IV,,,,,
737,HD 51608 C,Radial Velocity,,95.415,0.3791,0.41,,0.0565,,,,,,2011,,,,K0IV,,,,,
738,HD 52265 B,Radial Velocity,,119.6,0.5,0.35,,1.05,,,,,,2000,6159,1.2,1.25,G0 V,,0.21,,4.88,
739,HD 52265 C,Radial Velocity,,59.9,0.316,0.05,,0.35,,,,,,2013,6159,1.2,1.25,G0 V,,0.21,,4.88,
740,HD 5319 B,Radial Velocity,,675,1.75,0.12,,1.94,,,,,,2007,5052,1.56,3.26,G5IV,,0.15,,2.4,
741,HD 5319 C,Radial Velocity,,886,2.071,0.15,,1.15,,,,,,2016,5052,1.56,3.26,G5IV,,0.15,,2.4,
742,HD 5583 B,Radial Velocity,,139.35,0.53,0.076,,5.78,,,,,,2016,4830,1.01,9.09,K0,,-0.5,,7.4,
743,HD 5608 B,Radial Velocity,,792.6,1.9,,,1.4,,,,,,2012,4854,1.55,5.5,K0IV,,0.06,,,
744,HD 564 B,Radial Velocity,,492.3,1.2,0.096,,0.33,,,,,,2014,5902,0.92,1.01,G3V,,0.13,,5.5,
745,HD 5891 B,Radial Velocity,,177.11,0.76,0.066,,7.6,,,,,,2011,4907,1.91,8.7,G5D,,-0.02,,1.5,
746,HD 59686 A B,Radial Velocity,,299.36,1.086,0.05,,6.92,,,,,,2003,4658,1.9,13.2,K2 III,,0.15,,1.73,
747,HD 60532 B,Radial Velocity,,201.83,0.77,0.278,20,9.21,,,,,,2008,6095,1.44,,F6IV-V,,-0.26,,2.7,
748,HD 60532 C,Radial Velocity,,607.06,1.58,0.038,20,21.8,,,,,,2008,6095,1.44,,F6IV-V,,-0.26,,2.7,
749,HD 62509 B,Radial Velocity,,589.64,1.69,0.02,,2.9,,,,,,2006,4666,1.47,9.3, K0IIIb,,0.19,,,
750,HD 63454 B,Radial Velocity,,2.81747,0.036,0.0177,,0.39,,,1.06,,,2005,4841,0.8,,K4 V,,0.11,,1,
751,HD 63765 B,Radial Velocity,,358,0.949,0.24,,0.64,,,,,,2009,5432,0.865,,G9V,,-0.16,,4.77,
752,HD 6434 B,Radial Velocity,,21.998,0.14,0.17,,0.39,,,,,,2000,5835,0.79,0.57,G3 IV,,-0.52,,3.8,
753,HD 65216 B,Radial Velocity,,572.4,1.3,0.41,,1.26,,,,,,2003,5666,0.92,,G5 V,,-0.12,,,
754,HD 65216 C,Radial Velocity,,152.6,0.54,0.02,,0.17,,,,,,2011,5666,0.92,,G5 V,,-0.12,,,
755,HD 66141 B,Radial Velocity,,480.5,1.2,0.07,,6,,,,,,2012,4305,1.1,21.4,K2III,,-0.32,,6.84,
756,HD 66428 B,Radial Velocity,,1973,3.18,0.465,,2.82,,,,,,2006,5752,1.14552,,G5,,0.31,,5.56,
757,HD 67087 B,Radial Velocity,,352.2,1.08,0.17,,3.06,,,,,,2015,6330,1.36,1.55,F8 V,,0.25,,1.45,
758,HD 67087 C,Radial Velocity,,2374,3.86,0.76,,4.85,,,,,,2015,6330,1.36,1.55,F8 V,,0.25,,1.45,
759,HD 6718 B,Radial Velocity,,2496,3.56,0.1,,1.56,,,,,,2009,5745,0.96,1.02,G5V,,-0.06,,,
760,HD 68402 B,Radial Velocity,,1103,2.18,0.03,,3.07,,,,,,2016,5950,1.12,1.02,G5IV/V,,0.29,,2,
761,HD 68988 B,Radial Velocity,,6.2771,0.0704,0.1249,,1.86,,,,,,2001,5767,1.2,1.14,G0,,0.24,,6.78,
762,HD 69830 B,Radial Velocity,,8.667,0.0785,0.1,13,0.143,,,,,,2006,5385,0.86,0.895,K0V,,-0.05,,7,
763,HD 69830 C,Radial Velocity,,31.56,0.186,0.13,13,0.165,,,,,,2006,5385,0.86,0.895,K0V,,-0.05,,7,
764,HD 69830 D,Radial Velocity,,197,0.63,0.07,13,0.253,,,,,,2006,5385,0.86,0.895,K0V,,-0.05,,7,
765,HD 70642 B,Radial Velocity,,2231,3.3,0.1,,2,,,,,,2003,5670,1,0.84,G5 IV-V,,0.16,,3.88,
766,HD 7199 B,Radial Velocity,,615,1.36,0.19,,0.29,,,,,,2011,5386,0.89,0.96,KOIV/V,,0.28,,6.79,
767,HD 72659 B,Radial Velocity,,3658,4.74,0.22,,3.15,,,,,,2002,5926,0.95,1.36,G2 V,,-0.02,,6.5,
768,HD 72892 B,Radial Velocity,,39.475,0.228,0.423,,5.45,,,,,,2016,5688,1.02,1.22,G5V,,0.25,,8,
769,HD 73256 B,Radial Velocity,,2.54858,0.037,0.029,,1.87,,,,,,2003,5570,1.05,0.89,G8/K0,,0.29,,0.83,
770,HD 73267 B,Radial Velocity,,1260,2.198,0.256,,3.06,,,,,,2008,5317,0.89,1.04,G5V,,0.03,,7.4,
771,HD 73526 B,Radial Velocity,,188.9,0.65,0.29,,2.25,,,,,,2002,5590,1.08,1.49,G6 V,,0.25,,5.59,
772,HD 73526 C,Radial Velocity,,379.1,1.03,0.28,,2.25,,,,,,2006,5590,1.08,1.49,G6 V,,0.25,,5.59,
773,HD 73534 B,Radial Velocity,,1800,3.15,0.046,,1.15,,,,,,2009,4952,1.29,2.65,G5IV,,0.16,,,
774,HD 74156 B,Radial Velocity,,51.6385,0.2916,0.638,,1.778,,,,,,2003,5960,1.24,1.64,G1V,,0.13,,3.7,
775,HD 74156 C,Radial Velocity,,2448.9,3.82,0.3829,,7.997,,,,,,2003,5960,1.24,1.64,G1V,,0.13,,3.7,
776,HD 7449 B,Radial Velocity,,1275,2.3,0.82,,1.11,,,,,,2011,6024,1.05,1.01,F8V,,-0.11,,2.1,
777,HD 7449 C,Radial Velocity,,4046,4.96,0.53,,2,,,,,,2011,6024,1.05,1.01,F8V,,-0.11,,2.1,
778,HD 75289 B,Radial Velocity,,3.50928,0.046,0.0211,,0.47,,,1.03,,,1999,6120,1.05,1.25,G0 V,,0.29,,4.96,
779,HD 75784 B,Primary Transit,,341.7,1.073,0.13,,1.15,,,,,,2014,4917,1.41,3.3,K3 IV,,0.25,,4,
780,HD 75784 C,Primary Transit,,5040,6.5,0.36,,5.6,,,,,,2015,4917,1.41,3.3,K3 IV,,0.25,,4,
781,HD 75898 B,Radial Velocity,,418.2,1.19,0.1,,2.51,,,,,,2007,6021,1.28,1.6,G0,,0.27,,3.8,
782,HD 76700 B,Radial Velocity,,3.97101,0.049,0.0616,,0.23,,,0.99,,,2002,5726,1,1.33,G6 V,,0.14,,4.51,
783,HD 77065 B,Radial Velocity,,119.1135,0.438,0.69397,,41,,,,,,2016,4990,0.75,,G5,,-0.51,,,
784,HD 77338 B,Radial Velocity,,5.7561,0.0614,,,0.5,,,,,,2012,5370,0.93,0.88,K0IV,,0.35,,3.97,
785,HD 7924 B,Radial Velocity,,5.39792,0.05664,0.058,,0.0273,,,1.05,,,2009,5177,0.832,0.78,K0V,,-0.15,,,
786,HD 7924 C,Radial Velocity,,15.299,0.1134,0.098,,0.0247,,,,,,2015,5177,0.832,0.78,K0V,,-0.15,,,
787,HD 7924 D,Radial Velocity,,24.451,0.1551,0.21,,0.0203,,,,,,2015,5177,0.832,0.78,K0V,,-0.15,,,
788,HD 79498 B,Radial Velocity,,1966,3.13,0.59,,1.34,,,,,,2012,5740,1.06,,G5,,0.24,,2.7,
789,HD 80606 B,Primary Transit,,111.43637,0.449,0.93366,89.285,3.94,,,0.921,,,2001,5645,0.98,0.98,G5,,0.43,,7.63,
790,HD 81040 B,Radial Velocity,,1001.7,1.94,0.526,,6.86,,,,,,2005,5700,0.96,0.86,G2/G3,,-0.16,,4.18,
791,HD 81688 B,Radial Velocity,,184.02,0.66,0,,1.77,,,,,,2008,4753,2.1,13,K0III-IV,,-0.359,,,
792,HD 82886 B,Radial Velocity,,705,1.65,0.27,,1.3,,,,,,2011,5112,1.06,4.8,G0,,-0.31,,7,
793,HD 82943 B,Radial Velocity,,442.4,1.19,0.203,19.4,14,,,,,,2003,5874,1.18,1.12,G0,,0.32,,3.08,
794,HD 82943 C,Radial Velocity,,219.3,0.746,0.425,19.4,14.4,,,,,,2003,5874,1.18,1.12,G0,,0.32,,3.08,
795,HD 82943 D,Radial Velocity,,1078,2.145,0,,0.29,,,,,,2013,5874,1.18,1.12,G0,,0.32,,3.08,
796,HD 83443 B,Radial Velocity,,2.98572,0.0406,0.007,,0.4,,,1.04,,,2002,5460,0.9,1.04,K0 V,,0.35,,2.94,
797,HD 8535 B,Radial Velocity,,1313,2.45,0.15,,0.68,,,,,,2009,6136,1.13,1.19,G0V,,0.02,,,
798,HD 85390 B,Radial Velocity,,788,1.52,0.41,,0.132,,,,,,2009,5186,0.76,,K1V,,-0.07,,7.2,
799,HD 85390 C,Radial Velocity,,3700,4.23,0,,0.2,,,,,,2013,5186,0.76,,K1V,,-0.07,,7.2,
800,HD 85512 B,Radial Velocity,,58.43,0.26,0.11,,0.011,,,,,,2011,4715,0.69,,K5V,,-0.33,,5.61,
801,HD 8574 B,Radial Velocity,,227.55,0.77,0.288,,2.11,,,,,,2003,6080,1.17,1.37,F8,,0.05,,7.13,
802,HD 86081 B,Radial Velocity,,1.99809,0.039,0.0575,,1.5,,,1.08,,,2006,6028,1.21,1.22,F8V,,0.257,,6.21,
803,HD 86226 B,Radial Velocity,,1534,2.6,0.73,,1.5,,,,,,2010,,1.02,,G2V,,-0.04,,,
804,HD 86264 B,Radial Velocity,,1475,2.86,0.7,,7,,,,,,2009,6210,1.42,1.88,F7V,,0.202,,2.24,
805,HD 8673 B,Radial Velocity,,1634,3.02,0.723,,14.2,,,,,,2010,6472,1.35,1.39,F7 V,,0.14,,1.95,
806,HD 86950 B,Radial Velocity,,1270,2.72,0.17,,3.6,,,,,,2016,4805,1.66,8.8,K1 III,,0.04,,,
807,HD 87646 A B,Radial Velocity,,13.481,0.117,0.05,,12.4,,,,,,2016,5770,1.12,1.55,G1IV,,-0.17,,,
808,HD 87646 A C,Radial Velocity,,674,1.58,0.5,,57,,,,,,2016,5770,1.12,1.55,G1IV,,-0.17,,,
809,HD 87883 B,Radial Velocity,,2754,3.6,0.53,8.5,81.9,,,,,,2009,4980,0.82,0.76,K0V,,0.093,,9.8,
810,HD 88133 B,Radial Velocity,,3.41566,0.047,0.0761,,0.3,,,1,,,2004,5494,1.2,1.93,G5 IV,,0.34,,9.56,
811,HD 89307 B,Radial Velocity,,2199,3.34,0.25,,2,,,,,,2004,5950,1.028,1.05,G0V,,-0.14,,6.76,
