NAME,A,MASS,R,ECC,PER,I,OM,T0,DATE,DENSITY,PLANETDISCMETH,MSTAR,RSTAR,TEFF,FE,RHOSTAR
,au,mjupiter,rjupiter,,day,deg,deg,jd,,g/cm^3,,msun,rsun,k,,g/cm^3
WASP-41 b,0.0402101,0.939101,1.18,0,3.052404,89.4,90,2456014.9936,2011,0.422323,Transit,0.93,0.87,5545,0.06,1
BD -10 3166 b,0.0437823,0.429903,,0.019,3.48777,,334,2451171.22,2000,,RV,0.92,0.745254,5393.03,0.381727,
HD 190360 b,3.97285,1.53512,,0.313105,2915.0369,,12.9274,2453541.662,2003,,RV,0.983,1.07528,5551.63,0.212773,
HAT-P-13 c,1.22574,14.2696,,0.6616,446.27,,175.29,2455335.448,2009,,RV,1.22,1.56,5653,0.41,
Kepler-304 c,0.0596111,0.0162325,0.193594,,5.315946,,90,2454965.42892,2014,,Transit,,0.687,4731,,
Kepler-303 b,0.0304113,0.00192504,0.0794005,,1.937055,,90,2454967.71867,2014,,Transit,,0.485,3944,,
Kepler-1431 b,0.0642857,0.0109866,0.131,0,5.86601526,,90,,2016,,Transit,1.03,1.03,5806,0.07,
Kepler-1163 b,0.0699509,0.00325512,0.092,0,6.11786898,,90,,2016,,Transit,1.22,1.35,6302,0.02,
GJ 317 b,0.953099,1.26045,,0.11,692,,342,2451550.9925,2007,,RV,0.24,,,0.36,
Kepler-526 b,0.0635655,0.0147338,0.178,0,5.45849832,,90,,2016,,Transit,1.15,1.14,5894,0.34,
Kepler-591 b,0.363183,0.0345375,0.302,0,81.1694299,,90,,2016,,Transit,0.97,0.94,5677,0.01,
HD 37605 b,0.283337,2.80174,,0.6767,55.01307,,220.86,2453378.241,2004,,RV,1,0.916831,5448,0.336,
WASP-44 b,0.0347371,0.889836,1.14,0,2.4238039,86.02,90,2455434.376,2012,0.458647,Transit,0.951,0.927,5410,0.06,0.85
Kepler-260 c,0.351296,0.0128437,0.155232,,76.050178,,90,2454994.71209,2014,,Transit,,0.862,5250,,
Kepler-602 b,0.123667,0.0154788,0.186,0,15.28469497,,90,,2016,,Transit,1.08,1.13,6062,-0.02,
Kepler-286 c,0.0448402,0.00871939,0.122223,,3.468095,,90,2454969.00318,2014,,Transit,,0.863,5580,,
Kepler-1023 b,0.299693,0.0213319,0.235,0,62.1387714,,90,,2016,,Transit,0.93,0.89,5494,0.05,
Kepler-1362 b,0.48095,0.0208973,0.232,0,136.205626,,90,,2016,,Transit,0.8,0.74,4857,0.06,
Kepler-708 b,0.0417873,0.0256089,0.261,0,3.16789194,,90,,2016,,Transit,0.97,0.96,5692,0.01,
CoRoT-12 b,0.0401409,0.91918,1.44,0.07,2.828042,85.48,105,2454398.717,2010,0.41097,Transit,1.078,1.116,5675,0.16,0.77
CoRoT-1 b,0.0253191,1.02979,1.49,0,1.5089557,85.1,90,2454159.4532,2008,0.38,Transit,0.95,1.11,5950,-0.3,
HD 125612 c,0.0522124,0.0580667,,0.27499,4.15474,,103.511,2454420.17287,2010,,RV,1.1,1.0426,5897,0.24,
Kepler-1202 b,0.185207,0.0257931,0.262,0,28.6851324,,90,,2016,,Transit,1.03,1.04,5834,0.06,
Kepler-753 b,0.0552213,0.014034,0.17,0,5.74772501,,90,,2016,,Transit,0.68,0.65,4346,-0.03,
Kepler-267 b,0.0438489,0.0146122,0.176644,,3.353728,,90,2454967.86887,2014,,Transit,,0.555,4258,,
Kepler-112 c,0.182918,0.0185304,0.214114,,28.574263,,90,2454976.8308,2014,,Transit,,0.841,5544,,
Kepler-1134 b,0.12272,0.0214793,0.236,0,17.13263989,,90,,2016,,Transit,0.84,0.81,5281,-0.1,
GJ 581 b,0.0406125,0.0499019,,0.031,5.36865,,251,2454753.95,2005,,RV,0.31,0.299,3498,-0.1,
HD 75784 b,6.45931,5.6,,0.36,5040,,301,2459655,2015,,RV,1.41,3.3,4917,0.25,
Kepler-622 b,0.0992806,0.0158698,0.19,0,14.28226676,,90,,2016,,Transit,0.64,0.61,4201,-0.09,
Kepler-173 b,0.0514597,0.00711292,0.115086,,4.263742,,90,2454966.72031,2014,,Transit,,0.949,6031,,
HD 102117 b,0.152077,0.169756,,0.121,20.8133,,279,2450942.2,2005,,RV,1.083,1.13334,5695.18,0.295218,
Kepler-446 c,0.0247723,0.00452953,0.101,0,3.036179,88.97,,,2010,,Transit,0.22,0.24,3359,-0.3,
Kepler-301 c,0.0603792,0.00829825,0.120439,,5.419026,,90,2454964.64467,2014,,Transit,,0.9,5815,,
Kepler-1114 b,0.113504,0.00819664,0.12,0,14.97435694,,90,,2016,,Transit,0.87,0.83,5374,-0.08,
Kepler-1154 b,0.0633282,0.017919,0.209,0,5.1856142,,90,,2016,,Transit,1.26,1.43,6327,0.04,
Kepler-1059 b,0.043027,0.0127496,0.154,0,3.76419105,,90,,2016,,Transit,0.75,0.72,4906,-0.15,
HD 189733 b,0.0309953,1.1436,1.138,0,2.21857567,85.71,90,2454279.436714,2005,0.963,RV,0.806,0.756,5040,-0.03,1.907
HD 108863 b,1.45325,2.76572,,0,443.4,,177,2455516,2011,,RV,2.08,7.27656,4919,0.2,
Kepler-582 b,0.133586,0.0418568,0.328,0,18.49235668,,90,,2016,,Transit,0.93,0.91,5564,0.01,
Kepler-629 b,0.0714831,0.00890695,0.123,0,7.2385854,,90,,2016,,Transit,0.93,0.84,5444,0.01,
HD 10442 b,2.33538,2.1,,0.11,1043,,198,2457062,2015,,RV,1.56,3.39124,5034,0.11,
Kepler-404 b,0.101608,0.00674351,0.113302,,11.829851,,90,2454970.61764,2014,,Transit,,0.884,5654,,
Kepler-285 c,0.0659546,0.00436179,0.0999197,,6.186676,,90,2454969.63351,2014,,Transit,,0.808,5411,,
Kepler-174 c,0.243919,0.0115291,0.132929,,44.000529,,90,2455043.75908,2014,,Transit,,0.622,4880,,
Kepler-286 b,0.0289196,0.00621274,0.110625,,1.796302,,90,2454966.33057,2014,,Transit,,0.863,5580,,
Kepler-1213 b,0.0625366,0.0053608,0.106,0,5.34982412,,90,,2016,,Transit,1.14,1.21,6050,0.13,
Kepler-867 b,0.537936,0.0711111,0.414,0,150.242127,,90,,2016,,Transit,0.92,0.91,5541,-0.02,
Kepler-206 d,0.160305,0.00538981,0.106165,,23.44281,,90,2454985.01049,2014,,Transit,,1.185,5764,,
Kepler-209 c,0.235528,0.0286557,0.276563,,41.749882,,90,2454986.83986,2014,,Transit,,0.935,5513,,
Kepler-1438 b,0.0339456,0.00235177,0.084,0,2.31942009,,90,,2016,,Transit,0.97,0.96,5530,0.2,
HD 1502 b,1.27206,2.9072,,0.101,431.8,,219,2455227,2011,,RV,1.47,4.48335,4984,-0.04,
HD 142022 b,2.93163,4.46762,,0.53,1928,,170,2450941,2006,,RV,0.9,1.09856,5499,0.19,
GJ 3293 c,0.363982,0.081,,0.33,123.75,,-21.4,2455687.8,2015,,RV,0.42,0.404,3466,0.02,
Kepler-1061 b,0.0396104,0.014644,0.177,0,2.75798267,,90,,2016,,Transit,1.09,1.07,6067,-0.03,
Kepler-134 c,0.0914787,0.00656354,0.11241,,10.105785,,90,2454968.50716,2014,,Transit,,1.176,5983,,
Kepler-126 b,0.0938169,0.0123086,0.135605,,10.495711,,90,2455005.78966,2014,,Transit,,1.358,6239,,
Kepler-329 c,0.137805,0.0142208,0.172183,,18.684737,,90,2454969.14841,2014,,Transit,,0.523,4257,,
Kepler-766 b,0.0674482,0.0345375,0.302,0,6.10027804,,90,,2016,,Transit,1.1,1.15,5992,0.09,
Kepler-131 b,0.12557,0.0526382,0.215006,0,16.092,,90,,2014,6,Transit,1.02,1.03,5685,0.12,1.44
WASP-72 b,0.036575,1.40771,1.01,0,2.216726,86.8,90,2455583.6557,2013,1.80336,Transit,1.327,1.71,6250,-0.06,0.37312
Kepler-887 b,0.15495,0.0135358,0.164,0,20.42228798,,90,,2016,,Transit,1.19,1.29,6194,0.08,
Kepler-819 b,0.192248,0.0230257,0.246,0,33.1995648,,90,,2016,,Transit,0.86,0.81,5279,-0.06,
HD 212771 b,1.16471,2.70016,,0.111,373.3,,55,2454947,2010,,RV,1.51,4.00571,5091,-0.14,
WASP-47 d,0.0854327,0.0405776,0.3238,,9.03081,89.36,,,2015,,Transit,1.02,1.15,5576,0.36,0.4857
Kepler-135 b,0.0646392,0.0133325,0.161477,,6.00253,,90,2455004.71611,2014,,Transit,,1.275,6090,,
HD 134987 b,0.807929,1.56347,,0.233,258.18,,352.7,2450071,2000,,RV,1.054,1.16572,5749.68,0.279202,
Kepler-441 b,0.568939,0.0121773,0.146312,0,207.2482,89.97,90,2455667.7764,2010,,Transit,0.572,0.55,4340,-0.57,4.94
Kepler-149 b,0.185574,0.0581875,0.375591,,29.198943,,90,2455018.44022,2014,,Transit,,0.953,5381,,
Kepler-1228 b,0.0124913,0.0115145,0.137,0,0.57736958,,90,,2016,,Transit,0.78,0.74,5063,-0.18,
Kepler-289 c,0.491526,1,1.16335,,125.866438,,90,2455069.6563,2014,,Transit,,1.162,5930,,
Kepler-956 b,0.0610151,0.0269309,0.268,0,5.24867263,,90,,2016,,Transit,1.1,1.15,6040,0.02,
HD 187123 c,4.83146,1.9422,,0.252086,3805.6705,,242.973,2453580.036,2000,,RV,1.037,1.14277,5814.99,0.121412,
HD 101930 b,0.302019,0.299187,,0.11,70.459999,,251,2453145,2005,,RV,0.74,1.19859,5079,0.17,
Kepler-46 c,0.280101,0.376,,0.0146,57.011,87.4,298,2455053.2826,2012,,Timing,0.902,0.953491,5155,0.41,1.53
Kepler-1281 b,0.0398578,0.0121546,0.146,0,3.11602791,,90,,2016,,Transit,0.87,0.83,5353,-0.04,
Kepler-1640 b,0.081813,0.0768885,0.43,0,7.5844126,,90,,2016,,Transit,1.27,1.43,6324,0.1,
Kepler-174 d,0.771174,0.0164167,0.195379,,247.35373,,90,2455197.15875,2014,,Transit,,0.622,4880,,
