NAME,A,MASS,R,ECC,PER,I,OM,T0,DATE,DENSITY,PLANETDISCMETH,MSTAR,RSTAR,TEFF,FE,RHOSTAR
,au,mjupiter,rjupiter,,day,deg,deg,jd,,g/cm^3,,msun,rsun,k,,g/cm^3
Kepler-107 d,0.0780099,0.00371234,0.095459,,7.958203,,90,2454970.79968,2014,,Transit,,1.411,5851,,
Kepler-1049 b,0.0344721,0.00245309,0.085,0,3.27346074,,90,,2016,,Transit,0.51,0.49,3864,-0.33,
Kepler-813 b,0.13761,0.0159697,0.191,0,19.12947337,,90,,2016,,Transit,0.95,0.93,5743,-0.13,
Kepler-427 b,0.091351,0.29,1.23,0,10.290994,89.5,90,2454970.02207,2010,0.16,Transit,0.96,1.35,5800,-0.19,0.4
Kepler-1056 b,0.185149,0.0271261,0.269,0,27.495606,,90,,2016,,Transit,1.12,1.2,6127,0.02,
Kepler-1165 b,0.0912977,0.0115843,0.138,0,9.478522,,90,,2016,,Transit,1.13,1.18,6080,0.05,
Kepler-1104 b,0.0627651,0.00609283,0.11,0,5.03728015,,90,,2016,,Transit,1.3,1.41,6417,0.13,
WASP-14 b,0.0367693,7.69234,1.281,0.091,2.243752,84.32,253.371,2454462.3304,2009,4.65633,Transit,1.31,1.31,6475,0,0.542
Kepler-50 b,0.0825598,0.0164915,0.196096,,7.8125124,,,,2011,,Transit,1.23,1.88,6058,,
NN Ser d,3.70596,0.642621,,0.05,2605,,152,2458029,2010,,Timing,,,,,
Kepler-1279 b,0.170989,0.0129028,0.156,0,23.4774101,,90,,2016,,Transit,1.21,1.33,6221,0.06,
Kepler-1599 b,0.48075,0.0120821,0.145,0,122.363553,,90,,2016,,Transit,0.99,0.99,5767,0.02,
Kepler-20 b,0.0453704,0.0266646,0.170247,0,3.6961219,86.5,79.2157,2454966.34,2011,6.5,Transit,0.912,0.944,5466,0.02,1.51
HAT-P-27 b,0.0399488,0.617485,1.02,0,3.039577,85,90,2455407.9088,2011,0.771559,Transit,0.92,0.87,5190,0.14,1.94304
Kepler-181 b,0.0419466,0.00674351,0.113302,,3.137873,,90,2454966.5556199998,2014,,Transit,,0.749,5333,,
HD 116029 b,1.64869,1.9075,,0,670,,40,2455220,2011,,RV,1.33,5.04235,4811,0.08,
Kepler-207 b,0.0269045,0.0117295,0.140066,,1.611865,,90,2454966.57041,2014,,Transit,,1.588,5920,,
Kepler-1156 b,0.101981,0.00774372,0.118,0,11.89520511,,90,,2016,,Transit,1,1,5778,0.02,
Kepler-1512 b,0.13139,0.00518721,0.105,0,20.35972599,,90,,2016,,Transit,0.73,0.67,4372,0.2,
Kepler-787 b,0.0161327,0.00688654,0.114,0,0.9283105,,90,,2016,,Transit,0.65,0.62,4248,-0.09,
Kepler-528 b,0.143629,0.0154788,0.186,0,19.78297415,,90,,2016,,Transit,1.01,1.06,5807,0.02,
HD 219828 b,0.0515012,0.0622185,,0,3.8334999,,0,2453898.629,2007,,RV,1.24,1.4682,5891,0.19,
Kepler-480 b,0.0609811,0.0233514,0.248,0,4.9195838,,90,,2016,,Transit,1.25,1.34,6322,0.11,
Kepler-1567 b,0.5527,0.0227057,0.244,0,153.979578,,90,,2016,,Transit,0.95,0.93,5655,-0.03,
Kepler-1390 b,0.0675681,0.00518721,0.105,0,6.48021673,,90,,2016,,Transit,0.98,0.98,5753,-0.01,
Kepler-1642 b,0.0994208,0.0304768,0.285,0,12.2057513,,90,,2016,,Transit,0.88,0.84,5355,-0.01,
Kepler-11 c,0.106909,0.00912437,0.255816,0.0256125,13.0241,89.59,51.3402,2455582.016,2011,0.66,Transit,0.961,1.065,5663,0.0182,1.122
Kepler-871 b,0.159318,0.0437521,0.334,0,22.0459018,,90,,2016,,Transit,1.11,1.14,5993,0.09,
Kepler-1131 b,0.0458416,0.0118667,0.142,0,3.53232449,,90,,2016,,Transit,1.03,1.04,5851,0.05,
Kepler-705 b,0.231978,0.0156727,0.188,0,56.0560538,,90,,2016,,Transit,0.53,0.51,3722,0.07,
HD 1237 b,0.494668,3.3748,,0.511,133.71001,,290.7,2451545.86,2001,,RV,0.9,0.858011,5536,0.12,
WASP-21 b,0.0521087,0.300272,1.07,0,4.322482,88.75,90,2454743.0419,2010,0.3192,Transit,1.01,1.06,5800,-0.46,0.84
Kepler-284 c,0.219317,0.0210192,0.232849,,37.514456,,90,2455022.30068,2014,,Transit,,0.814,5615,,
Kepler-186 c,0.0574114,0.00636705,0.111418,0.03,7.267302,,270,2455003.681,2014,,Transit,0.478,0.472,3788,-0.28,4.92
HD 4308 b,0.119192,0.0477376,,0,15.56,,359,2453314.7,2006,,RV,0.933,0.82259,5695,-0.31,
Kepler-239 b,0.101225,0.0177874,0.207869,,11.763051,,90,2455013.93614,2014,,Transit,,0.763,4914,,
Kepler-651 b,0.146649,0.0181548,0.211,0,21.38521506,,90,,2016,,Transit,0.92,0.87,5522,-0.04,
Kepler-80 f,0.017386,0.00609283,0.11,0,0.98678706,,90,,2016,,Transit,0.72,0.64,4613,-0.562,
Kepler-1217 b,0.0320163,0.0147338,0.178,0,2.03232507,,90,,2016,,Transit,1.06,1.08,5905,0.07,
Kepler-895 b,0.0337283,0.0115145,0.137,0,2.80624233,,90,,2016,,Transit,0.65,0.61,4315,-0.16,
Kepler-628 b,0.121444,0.243389,0.749,0,15.4580567,,90,,2016,,Transit,1,1.28,5721,0.04,
Kepler-174 b,0.113583,0.014454,0.174859,,13.98179,,90,2455014.97351,2014,,Transit,,0.622,4880,,
Kepler-440 b,0.353207,0.0136945,0.165939,0,101.11141,89.93,90,2455756.2986,2010,,Transit,0.575,0.559,4134,-0.3,4.76
Kepler-403 d,0,0.00991268,0.127,0,13.61159129,,90,,2016,,Transit,0,1.33,6090,-0.145,
Kepler-224 d,0.0988375,0.0174811,0.205192,,11.349393,,90,2454967.31602,2014,,Transit,,0.676,5018,,
Kepler-389 c,0.116434,0.0107805,0.130252,,14.51143,,90,2454976.86026,2014,,Transit,,0.792,5376,,
Kepler-674 b,0.0282874,0.0125233,0.151,0,2.24338185,,90,,2016,,Transit,0.6,0.57,4192,-0.27,
Kepler-1047 c,0.0435026,0.00277643,0.088,0,3.18897601,,90,,2016,,Transit,1.08,1.13,5754,0.29,
Kepler-1247 b,0.106621,0.0178026,0.208,0,13.71220213,,90,,2016,,Transit,0.86,0.82,5303,-0.05,
Kepler-1210 b,0.0771394,0.0125983,0.152,0,8.07124073,,90,,2016,,Transit,0.94,0.92,5568,0.04,
Kepler-254 c,0.104915,0.0160511,0.19181,,12.412183,,90,2454975.53938,2014,,Transit,,0.91,5957,,
Kepler-236 c,0.162691,0.0147725,0.178428,,23.968127,,90,2455019.2169,2014,,Transit,,0.51,3750,,
WASP-25 b,0.0473714,0.57847,1.22,0,3.764825,88,90,2455274.99649,2011,0.42161,Transit,1,0.92,5750,-0.05,1.29
Kepler-186 d,0.0860831,0.00934866,0.12479,0.03,13.342996,,270,2455003.233,2014,,Transit,0.478,0.472,3788,-0.28,4.92
Kepler-1646 b,0.0330793,0.00609283,0.11,0,4.48558383,,90,,2016,,Transit,0.24,0.26,3299,0.04,
HD 24040 b,4.92406,4.02189,,0.04,3668,,154,2454308,2007,,RV,1.18,1.15444,5852.73,0.206313,
Kepler-359 c,0.292189,0.0607789,0.38362,,57.68802,,90,2454972.94136,2014,,Transit,,1.086,6248,,
Kepler-211 c,0.0649112,0.00711292,0.115086,,6.04045,,90,2455005.59435,2014,,Transit,,0.816,5123,,
Kepler-967 b,0.103279,0.0180364,0.21,0,13.22713379,,90,,2016,,Transit,0.84,0.8,5178,-0.03,
Kepler-1574 b,0.0726189,0.00709482,0.115,0,6.9424334,,90,,2016,,Transit,1.06,1.08,5892,0.08,
Kepler-1157 b,0.0483728,0.00392895,0.097,0,4.45743164,,90,,2016,,Transit,0.76,0.71,4679,0.05,
Kepler-549 b,0.230006,0.020474,0.229,0,42.9495649,,90,,2016,,Transit,0.88,0.84,5360,-0.03,
Kepler-1510 b,0.399998,0.0340314,0.3,0,84.703921,,90,,2016,,Transit,1.19,1.28,6200,0.04,
Kepler-1002 b,0.0556094,0.0126737,0.153,0,4.33642933,,90,,2016,,Transit,1.22,1.57,6144,0.04,
Kepler-294 c,0.0690438,0.0223552,0.24177,,6.6264,,90,2455016.98818,2014,,Transit,,0.976,5913,,
Kepler-263 c,0.256083,0.019315,0.220359,,47.332773,,90,2454984.4095,2014,,Transit,,0.785,5265,,
Kepler-349 b,0.0641159,0.0139923,0.169507,,5.929778,,90,2454968.49118,2014,,Transit,,0.927,5956,,
Kepler-1563 b,0.0445351,0.00105753,0.067,0,3.43276598,,90,,2016,,Transit,1,0.99,5765,0.02,
Kepler-1611 b,0.0573666,0.00136198,0.072,0,5.1762429,,90,,2016,,Transit,0.94,0.93,5605,0.01,
Kepler-1284 b,0.0140554,0.00571923,0.108,0,0.66407381,,90,,2016,,Transit,0.84,0.79,5123,0.03,
HD 200964 b,1.64347,1.94873,,0.04,613.8,,288,2454900,2011,,RV,1.57,3.80029,5082,-0.2,
Kepler-706 b,0.223617,1,1.175,0,41.40831347,,90,,2016,,Transit,0.87,0.84,5394,-0.06,
HD 147018 b,0.238855,2.12711,,0.4686,44.236,,335.97,2454459.49,2010,,RV,0.927,1.05268,5441,0.1,
HD 218566 b,0.687282,0.212872,,0.3,225.7,,36,2450360,2011,,RV,0.85,0.590728,4820,0.38,
HD 45364 b,0.68156,0.187149,,0.1684,226.93,,162.58,2453535.817118141,2009,,RV,0.82,1.02464,5434,-0.17,
Kepler-1177 b,0.436075,0.014034,0.17,0,106.247547,,90,,2016,,Transit,0.98,0.97,5712,0.02,
Kepler-1364 b,0.125617,0.0160703,0.192,0,13.32196237,,90,,2016,,Transit,1.49,1.79,6805,0.04,
Kepler-653 b,0.118258,0.0143786,0.174,0,14.70748976,,90,,2016,,Transit,1.02,1.19,5665,0.23,
Kepler-553 b,0.0482066,0.0707577,0.413,0,4.03046804,,90,,2016,,Transit,0.92,0.85,5266,0.21,
Kepler-361 b,0.081426,0.010538,0.12936,,8.486616,,90,2454971.01734,2014,,Transit,,1.343,6169,,
Kepler-318 c,0.101523,0.0419521,0.328308,,11.815007,,90,2454966.08965,2014,,Transit,,1.189,5746,,
Kepler-372 b,0.0705863,0.00850717,0.121331,,6.849692,,90,2454967.68069,2014,,Transit,,1.137,6509,,
Kepler-197 e,0.168262,0.00208313,0.0811848,,25.209715,,90,2454987.41342,2014,,Transit,,1.12,6004,,
HD 141937 b,1.50087,9.4752,,0.41,653.21997,,187.72,2451847.38,2002,,RV,1.048,1.06384,5846.82,0.128642,
Kepler-405 c,0.187804,0.071727,0.415737,,29.726682,,90,2456560.20398,2014,,Transit,,0.893,5818,,
Kepler-104 d,0.271796,0.0392746,0.319386,,51.755394,,90,2455104.08611,2014,,Transit,,1.349,5711,,
Kepler-702 b,0.0907551,0.531485,0.818,0,10.52629406,,90,,2016,,Transit,0.9,0.86,5419,0,
Kepler-26 d,0.0454914,0.00371234,0.095459,,3.543919,,90,2454969.25903,2014,,Transit,,0.571,4486,,
Kepler-159 b,0.0916828,0.0183139,0.212329,,10.139623,,90,2455011.44948,2014,,Transit,,0.663,4625,,
HD 156668 b,0.0499846,0.0130582,,0,4.6455,,90,2454718.57,2011,,RV,0.772,0.728691,4850,0.05,
MOA-2009-BLG-387L b,1.76808,2.6,,,1970,,,,2011,,Microlensing,0.19,,,,
Kepler-1045 b,0.165053,0.0220818,0.24,0,26.41045478,,90,,2016,,Transit,0.86,0.82,5301,-0.03,
Kepler-905 b,0.0568739,0.00965491,0.126,0,5.08274652,,90,,2016,,Transit,0.95,0.86,5461,0.09,
Kepler-763 b,0.0208123,0.00590412,0.109,0,1.19655156,,90,,2016,,Transit,0.84,0.8,5166,0.01,
Kepler-1376 b,0.059158,0.00351465,0.094,0,5.30880656,,90,,2016,,Transit,0.98,0.97,5659,0.07,
Kepler-32 f,0.0130732,0.00143611,0.0730903,0,0.74296,,90,2454965.54,2012,,Transit,0.54,0.53,3793,-0.01,
WASP-103 b,0.0198682,1.48791,1.528,0,0.925542,86.3,90,2456459.59957,2014,0.553034,Transit,1.22,1.436,6110,0.06,0.58291
Kepler-990 c,0.0131638,0.0124263,0.136,0,0.53835431,,90,,2016,,Transit,1.05,1.08,5948,0.01,
Kepler-221 e,0.136253,0.0212781,0.234633,,18.369917,,90,2454964.86048,2014,,Transit,,0.821,5243,,
Kepler-1028 b,0.0349411,0.00796813,0.119,0,2.51462432,,90,,2016,,Transit,0.9,0.87,5522,-0.09,
Kepler-256 c,0.0441473,0.0160511,0.19181,,3.38802,,90,2455003.53221,2014,,Transit,,1.301,5551,,
GJ 649 b,1.13179,0.325341,,0.3,598.3,,352,2452876,2010,,RV,0.54,,3700,0.08,
Kepler-1333 b,0.439185,0.0238504,0.251,0,109.6471842,,90,,2016,,Transit,0.94,0.92,5628,-0.04,
Kepler-276 b,0.114376,0.0247188,0.256044,,14.12841,,90,2454975.89515,2014,,Transit,,1.046,6105,,
Kepler-1042 b,0.0832577,0.0163773,0.195,0,10.13202575,,90,,2016,,Transit,0.75,0.72,4815,-0.1,
Kepler-264 c,0.52792,0.0241007,0.252476,,140.101261,,90,2455049.22078,2014,,Transit,,1.55,6158,,
HD 132406 b,1.98227,5.60495,,0.34,974,,214,2453474,2007,,RV,1.09,,5885,0.18,
Kepler-143 b,0.124306,0.0186399,0.215006,,16.007583,,90,2454975.63677,2014,,Transit,,1.359,5848,,
Kepler-1225 b,0.0746694,0.0133743,0.162,0,7.01075434,,90,,2016,,Transit,1.13,1.19,6140,0.01,
Kepler-189 c,0.144846,0.0183139,0.212329,,20.134866,,90,2455004.36552,2014,,Transit,,0.75,5235,,
HD 38529 c,3.6002,12.2603,,0.355094,2146.0503,,17.9023,2452255.921,2003,,RV,1.34,2.02418,5674,0.4,
Kepler-62 b,0.0552794,0,0.116766,0.0707107,5.714932,89.2,278.13,2455001.21,2011,,Transit,0.69,0.64,4925,-0.37,3.8
Kepler-281 b,0.117153,0.0239491,0.251584,,14.646008,,90,2454969.51691,2014,,Transit,,0.899,5723,,
Kepler-1006 b,0.13168,0.0115145,0.137,0,19.76172042,,90,,2016,,Transit,0.78,0.74,5328,-0.4,
Kepler-196 c,0.256426,0.0168894,0.199839,,47.427737,,90,2455049.55425,2014,,Transit,,0.782,5128,,
Kepler-238 c,0.0657332,0.0184218,0.213222,,6.155557,,90,2454967.82322,2014,,Transit,,1.43,5751,,
Kepler-49 c,0.07889,0.0202381,0.227293,,10.9129343,,,,2011,,Transit,0.55,0.53,3974,,
Kepler-55 c,0.202122,0.016585,0.196987,,42.1516418,,,,2013,,Transit,0.62,0.58,4362,,
Kepler-791 b,0.127324,0.0277215,0.272,0,14.5539759,,90,,2016,,Transit,1.3,1.47,6383,0.06,
WASP-19 b,0.0163152,1.13339,1.386,0.0046,0.78884,79.4,3,2455168.771,2010,0.438,Transit,0.93,0.99,5500,0.02,0.993
Kepler-310 d,0.401368,0.019315,0.220359,,92.876125,,90,2454978.92567,2014,,Transit,,0.876,5797,,
Kepler-619 c,0.022851,0.0125233,0.151,0,1.20846503,,90,,2016,,Transit,1.09,1.11,5980,0.05,
Kepler-204 c,0.170262,0.0131908,0.159693,,25.660593,,90,2454988.15165,2014,,Transit,,1.238,5812,,
Kepler-26 b,0.0902469,0.0397121,0.320884,0,12.282356,,90,2454978.8321,2011,,Transit,0.65,0.59,3933,-0.21,
Kepler-374 c,0.0432285,0.00409374,0.0981354,,3.282807,,90,2454964.89972,2014,,Transit,,0.911,5977,,
Kepler-395 b,0.0719854,0.00324127,0.0918904,,7.054346,,90,2454969.19136,2014,,Transit,,0.556,4262,,
HD 126614 A b,2.36847,0.385706,,0.41,1244,,243,2453808,2010,,RV,1.145,1.10978,5585,0.56,
Kepler-875 b,0.181834,0.0252452,0.259,0,27.5073799,,90,,2016,,Transit,1.06,1.11,5958,0.03,
Kepler-1508 b,0.154158,0.00796813,0.119,0,20.7056504,,90,,2016,,Transit,1.14,1.22,6158,0.01,
Kepler-1568 b,0.152944,0.00730709,0.116,0,20.925392,,90,,2016,,Transit,1.09,1.19,5956,0.09,
Kepler-80 e,0.0544864,0.0121773,0.146311,,4.645387,,90,2454967.58736,2014,,Transit,,0.637,4613,,
Kepler-83 d,0.0585134,0.014298,0.173075,,5.169796,,90,2455005.631,2014,,Transit,,0.594,4648,,
Kepler-519 b,0.157968,0.0155754,0.187,0,24.3078946,,90,,2016,,Transit,0.89,0.8,5260,0.01,
Kepler-192 d,0,0.00313024,0.091,0,6.47027579,,90,,2016,,Transit,0,1.01,5479,-0.153,
Kepler-167 b,0.0481157,0.010538,0.12936,,4.393147,,90,2455005.86732,2014,,Transit,0.77,0.726,4890,-0.03,
Kepler-772 b,0.107432,0.0133743,0.162,0,12.99207337,,90,,2016,,Transit,0.98,1.11,5714,0.03,
Kepler-295 d,0.204929,0.00850717,0.121331,,33.884054,,90,2454993.00625,2014,,Transit,,0.898,5603,,
Kepler-337 b,0.043316,0.0115417,0.13739,,3.292781,,90,2454966.00966,2014,,Transit,,1.761,5684,,
HD 177830 b,1.13872,1.31967,,0.096,410.1,,189,2450254,2000,,RV,1.17,3.99397,4752,0.3,
Kepler-516 b,0.195757,0.110157,0.512,0,24.85462415,,90,,2016,,Transit,1.62,2.02,7099,0.01,
Kepler-1562 b,0.316103,0.0385876,0.317,0,64.2737752,,90,,2016,,Transit,1.02,1.05,5760,0.11,
Kepler-226 d,0.0789926,0.00587447,0.108841,,8.109044,,90,2454965.80333,2014,,Transit,,0.802,5571,,
HD 38283 b,1.02382,0.338157,,0.41,363.2,,219,2450802.6,2011,,RV,1.085,1.50465,5998,-0.12,
Kepler-386 b,0.104341,0.00915403,0.124008,,12.31043,,90,2454974.86305,2014,,Transit,,0.767,5178,,
Kepler-922 b,0.0184414,0.00991268,0.127,0,0.93846683,,90,,2016,,Transit,0.95,0.93,5671,-0.05,
HD 217786 b,2.3791,13.1868,,0.4,1319,,100,2456053,2011,,RV,1.02,1.15058,5966,-0.135,
Kepler-363 c,0.0752686,0.0125062,0.150772,,7.542427,,90,2454965.95422,2014,,Transit,,1.485,5593,,
Kepler-687 b,0.134386,0.0377408,0.314,0,20.50586978,,90,,2016,,Transit,0.77,0.73,4841,-0.04,
Kepler-1457 b,0.270431,0.0147338,0.178,0,51.1110243,,90,,2016,,Transit,1.01,1.01,5866,-0.05,
Kepler-567 b,0.119888,0.0170154,0.201,0,16.54297375,,90,,2016,,Transit,0.84,0.79,5148,0,
Kepler-1453 b,0.252883,0.021778,0.238,0,47.1611696,,90,,2016,,Transit,0.97,0.94,5665,0.01,
Kepler-24 d,0.0513038,0.0123736,0.148987,,4.244384,,90,2454970.06411,2014,,Transit,,1.289,5897,,
HD 32518 b,0.595162,3.34549,,0.01,157.54,,306.11,2452950.29,2009,,RV,1.13,24.3641,4580,-0.15,
Kepler-980 b,0.101644,0.021778,0.238,0,11.55102504,,90,,2016,,Transit,1.05,1.06,5935,0.01,
Kepler-472 b,0.048077,0.0309268,0.287,0,4.17625551,,90,,2016,,Transit,0.85,0.78,4996,0.16,
Kepler-402 c,0.0655142,0.0116666,0.139174,,6.124821,,90,2454967.936,2014,,Transit,,1.264,6090,,
Kepler-435 b,0.0948432,0.84,1.99,0.114,8.6001536,85.51,104,,2010,0.131,Transit,1.538,3.21,6090,-0.17,0.0663
WASP-18 b,0.0201401,10.2006,1.267,0.00848,0.9414529,80.6,267.9,2454664.429,2009,10.2809,Transit,1.22,1.216,6400,0,0.707
CoRoT-6 b,0.0854177,2.95364,1.166,0,8.886593,89.07,90,2454595.6144,2010,2.32,Transit,1.05,1.025,6090,-0.2,
Kepler-127 c,0.186396,0.0216742,0.237309,,29.393195,,90,2455042.06708,2014,,Transit,,1.359,6106,,
Kepler-839 b,0.235594,0.020474,0.229,0,37.8144514,,90,,2016,,Transit,1.22,1.31,6058,0.29,
Kepler-203 c,0.0600193,0.019315,0.220359,,5.370647,,90,2455005.23697,2014,,Transit,,1.114,5821,,
Kepler-1234 b,0.0949095,0.0238504,0.251,0,11.94014029,,90,,2016,,Transit,0.8,0.76,4967,0.01,
Kepler-1127 b,0.0575745,0.0144664,0.175,0,5.12330347,,90,,2016,,Transit,0.97,0.95,5664,0.04,
Kepler-732 c,0.0143082,0.00668223,0.113,0,0.89304124,,90,,2016,,Transit,0.49,0.46,3631,-0.01,
HD 73267 b,2.19849,3.06257,,0.256,1260,,229.1,2451821.7,2009,,RV,0.89,1.16642,5317,0.03,
HD 147513 b,1.30958,1.17965,,0.26,528.40002,,282,2451123,2004,,RV,1.072,0.850084,5929.74,0.0891888,
Kepler-1528 b,0.0291497,0.0107116,0.13,0,1.79111021,,90,,2016,,Transit,1.03,1.03,5857,0.03,
Kepler-893 b,0.0670296,0.027323,0.27,0,6.33855761,,90,,2016,,Transit,1,0.99,5820,-0.03,
Kepler-1387 b,0.0317279,0.00225358,0.083,0,2.27952666,,90,,2016,,Transit,0.82,0.77,5046,0.02,
Kepler-1062 b,0.0786582,0.0129801,0.157,0,9.30412078,,90,,2016,,Transit,0.75,0.7,4597,0.11,
HD 72659 b,4.75375,3.1741,,0.22,3658,,260.7,2455351,2003,,RV,1.068,1.34287,5919.51,-0.00448106,
BD +14 4559 b,0.775866,1.51929,,0.29,268.94,,87.64,2453293.71,2009,,RV,0.86,0.725686,4814,0.1,
HD 1605 b,1.48605,0.96903,,0.078,577.9,,26,2453443.3,2015,,RV,1.31,3.8,4757,0.21,
Kepler-79 b,0.114456,0.0343,0.316,0.015,13.485,,191.31,,2013,1.43,Timing,1.1,1.1,6187,-0.263,
Kepler-202 b,0.0498841,0.0121124,0.145419,,4.069427,,90,2455004.01577,2014,,Transit,,0.667,4668,,
Kepler-709 b,0.115768,0.0256089,0.261,0,16.08524954,,90,,2016,,Transit,0.8,0.77,5071,-0.08,
HD 197037 b,2.07477,0.807324,,0.22,1035.7,,298,2451353.1,2012,,RV,1.11,1.09866,6150,-0.2,
HD 70642 b,3.18072,1.90944,,0.034,2068,,205,2451350,2003,,RV,1.002,1.03139,5705.54,0.164227,
KELT-2 A b,0.0549707,1.52064,1.286,0,4.1137912,88.6,90,2455974.60335,2012,0.948085,Transit,1.308,1.828,6151,-0.018,
Kepler-10 b,0.0167573,0.0142824,0.126327,0,0.837495,84.4,90,2454964.57375,2011,8.8,Transit,0.895,1.056,5627,-0.15,
Kepler-208 e,0.125606,0.0112762,0.132037,,16.259458,,90,2454945.01425,2014,,Transit,,1.314,6092,,
Kepler-1365 b,0.0763129,0.00215846,0.082,0,7.69993485,,90,,2016,,Transit,1,1.05,5770,0.03,
Kepler-270 c,0.168498,0.0130508,0.157909,,25.262887,,90,2454967.21176,2014,,Transit,,1.461,6067,,
Kepler-966 b,0.423716,0.0557908,0.368,0,99.747622,,90,,2016,,Transit,1.02,1.02,5840,0.04,
Kepler-1010 b,0.196353,0.0176872,0.207,0,34.2685705,,90,,2016,,Transit,0.86,0.82,5253,-0.01,
Kepler-811 b,0.161485,0.0222358,0.241,0,23.58447697,,90,,2016,,Transit,1.01,1.24,5747,0.05,
Kepler-225 c,0.138343,0.0135483,0.164154,,18.794234,,90,2455010.7935,2014,,Transit,,0.48,3682,,
Kepler-1305 b,0.11018,0.0138656,0.168,0,13.5630972,,90,,2016,,Transit,0.97,0.96,5701,0.01,
Kepler-150 d,0.105752,0.0235009,0.248907,,12.56093,,90,2454999.79588,2014,,Transit,,0.939,5560,,
Kepler-1322 b,0.0184246,0.0120099,0.144,0,0.96286738,,90,,2016,,Transit,0.9,0.87,5488,-0.07,
Kepler-405 b,0.0945195,0.015437,0.185565,,10.613839,,90,2455196.7367599998,2014,,Transit,,0.893,5818,,
Kepler-208 b,0.0511769,0.0121124,0.145419,,4.22864,,90,2455003.74197,2014,,Transit,,1.314,6092,,
M 67 YBP 1194 b,0.0715732,0.346328,,0.24,6.958,,98.62,2455978.8,2014,,RV,1.01,1.01765,5780,0.023,
Kepler-1084 b,0.0328337,0.00422224,0.099,0,2.05333679,,90,,2016,,Transit,1.12,1.28,6113,-0.02,
Kepler-616 b,0.0902152,0.0188877,0.217,0,9.99761851,,90,,2016,,Transit,0.98,0.97,5753,-0.02,
Kepler-325 d,0.223972,0.0235009,0.248907,,38.715185,,90,2454967.0309,2014,,Transit,,1.003,5752,,
Kepler-1065 c,0.0340815,0.0119381,0.143,0,2.37030743,,90,,2016,,Transit,0.94,0.93,5635,-0.01,
Kepler-1464 c,0.0600955,0.00289089,0.089,0,5.32786292,,90,,2016,,Transit,1.02,1.01,5828,0.03,
Kepler-340 c,0.157474,0.0341953,0.300651,,22.824669,,90,2454977.46616,2014,,Transit,,1.85,6620,,
Kepler-682 b,0.103131,0.164047,0.658,0,12.61190667,,90,,2016,,Transit,0.92,0.89,5559,-0.05,
Kepler-507 b,0.0480157,0.00730709,0.116,0,3.56809693,,90,,2016,,Transit,1.16,1.32,6113,0.06,
HD 40307 c,0.0800702,0.0211468,,0,9.62,,0,2454551.53,2009,,RV,0.74,0.839223,4977,-0.31,
HD 142 b,1.04292,1.3057,,0.26,350.3,,303,2451963,2002,,RV,1.232,1.5121,6248.6,0.0997966,
Kepler-257 b,0.0349126,0.0210192,0.232849,,2.382667,,90,2455003.6633,2014,,Transit,,1.037,5180,,
Kepler-976 b,0.418342,0.0503054,0.353,0,105.9564148,,90,,2016,,Transit,0.87,0.83,5232,0.07,
WASP-10 b,0.0384536,3.19144,1.08,0.0507142,3.0927616,88.49,153.283,2454664.537,2009,3.11,Transit,0.79,0.698,4675,0.03,1.51
Kepler-982 b,0.129335,0.0170154,0.201,0,15.7738221,,90,,2016,,Transit,1.16,1.29,6139,0.05,
GJ 328 b,4.43476,2.3,,0.37,4100,,290,2454500,2013,,RV,0.69,,3900,,
WASP-17 b,0.0499354,0.508547,1.932,0,3.735433,86.63,90,2454559.18096,2010,0.1915,Transit,1.19,1.2,6550,-0.25,0.67
HAT-P-17 b,0.0882385,0.530158,1.01,0.346,10.338523,89.2,201,2454792.87,2012,0.64,Transit,0.857,0.837,5246,0,
Kepler-162 b,0.0710671,0.00656354,0.11241,,6.919798,,90,2454967.11914,2014,,Transit,,0.958,5816,,
Kepler-487 c,0.216804,0.0219292,0.239,0,38.6519976,,90,,2016,,Transit,0.91,0.88,5444,0,
HD 67087 b,1.08217,3.09805,,0.17,352.2,,284.8,2450154.8,2015,,RV,1.36,1.55,6330,0.25,
Kepler-293 c,0.280136,0.0463015,0.34169,,54.155743,,90,2455005.36515,2014,,Transit,,0.957,5804,,
HD 102329 b,1.80892,4.47808,,0.211,778.1,,178,2455096,2011,,RV,1.3,7.27206,4745,0.05,
Kepler-872 b,0.0374071,0.0147338,0.178,0,2.57885507,,90,,2016,,Transit,1.05,1.08,5902,0.04,
Kepler-1542 d,0.0632508,0.0018073,0.078,0,5.99273738,,90,,2016,,Transit,0.94,0.99,5564,0.06,
HD 159868 b,2.29553,2.20004,,0.01,1178.4,,350,2453435,2007,,RV,1.16,1.84825,5558,-0.08,
K2-21 b,0.0747146,0.011856,0.14185,,9.32414,88.3,90,2442156.4239,2015,,Transit,0.64,0.6,4043,-0.11,4.15
Kepler-424 b,0.0436419,0.770225,0.89,0.002,3.3118644,,,2454964.7427,2014,1.74,Transit,1.01,0.94,5460,0.44,1.74
Kepler-262 c,0.152976,0.0121773,0.146311,,21.853722,,90,2454977.31467,2014,,Transit,,0.881,5841,,
WASP-117 b,0.0946483,0.2755,1.021,0.302,10.02165,89.14,242,,2014,0.344,Transit,1.126,1.17,6040,-0.11,0.987
WASP-75 b,0.0375112,1.07,1.27,0,2.484193,82,90,2456016.2669,2013,0.52,Transit,1.14,1.26,6100,0.07,0.56
