rowid,Star name,planet letter,Method,No de planetas,Periodo dias,Semi eje,excentricidad,Inlcinacion,Masa sin (Mjup),Masa (Mjup),Masa (Mtierra),Radio (Rjup),Radio tierra,Densidad pl gr/cm^3,Año,Teff (K),Masa (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Razón de metalicidad,Edad estr
1066,Kepler-1107,b,Transit,1,0.57103852,,,,,,,0.12,1.34,,2016,5268,0.86,0.82,,,0.01,[Fe/H],4.47
1067,Kepler-1108,b,Transit,1,4.51005748,,,,,,,0.13,1.46,,2016,5406,0.88,0.84,,,-0.09,[Fe/H],4.17
1068,Kepler-1109,b,Transit,1,37.6467384,,,,,,,0.195,2.19,,2016,5893,1.05,1.06,,,0.04,[Fe/H],3.8
1069,Kepler-111,b,Transit,2,3.341815,0.046,,,,,,0.141,1.58,,2014,5952,,1.16,,,0.005,[Fe/H],
1070,Kepler-111,c,Transit,2,224.784608,0.761,,,,,,0.651,7.3,,2014,5952,,1.16,,,0.005,[Fe/H],
1071,Kepler-1110,b,Transit,1,9.69312032,,,,,,,0.237,2.66,,2016,4781,0.73,0.7,,,-0.16,[Fe/H],4.79
1072,Kepler-1111,b,Transit,1,8.79617863,,,,,,,0.178,2,,2016,6077,1.1,1.15,,,0.02,[Fe/H],3.16
1073,Kepler-1112,b,Transit,1,14.36267939,,,,,,,0.269,3.02,,2016,6496,1.34,1.54,,,0.04,[Fe/H],2.09
1074,Kepler-1113,b,Transit,1,42.3004954,,,,,,,0.251,2.81,,2016,5931,1.12,1.17,,,0.18,[Fe/H],3.55
1075,Kepler-1114,b,Transit,1,14.97435694,,,,,,,0.12,1.35,,2016,5374,0.87,0.83,,,-0.08,[Fe/H],4.27
1076,Kepler-1115,b,Transit,1,23.5540725,,,,,,,0.152,1.7,,2016,8480,1.6,1.73,,,-0.51,[Fe/H],1.12
1077,Kepler-1116,b,Transit,1,41.6977827,,,,,,,0.227,2.54,,2016,5641,0.95,0.93,,,0.01,[Fe/H],4.9
1078,Kepler-1117,b,Transit,1,4.79028459,,,,,,,0.099,1.11,,2016,5612,0.95,0.93,,,0.03,[Fe/H],4.27
1079,Kepler-1118,b,Transit,1,38.6715075,,,,,,,0.244,2.74,,2016,5688,0.96,0.97,,,0,[Fe/H],4.07
1080,Kepler-1119,b,Transit,1,8.3265153,,,,,,,0.171,1.92,,2016,6083,1.11,1.17,,,0.03,[Fe/H],3.09
1081,Kepler-112,b,Transit,2,8.408878,0.076,,,,,,0.211,2.36,,2014,5544,,0.84,,,-0.588,[Fe/H],
1082,Kepler-112,c,Transit,2,28.574263,0.172,,,,,,0.214,2.4,,2014,5544,,0.84,,,-0.588,[Fe/H],
1083,Kepler-1120,b,Transit,1,2.94902905,,,,,,,0.123,1.38,,2016,4904,0.78,0.74,,,-0.04,[Fe/H],4.68
1084,Kepler-1121,b,Transit,1,13.15141081,,,,,,,0.17,1.91,,2016,6231,1.29,1.59,,,0.12,[Fe/H],3.02
1085,Kepler-1122,b,Transit,1,42.1917357,,,,,,,0.182,2.04,,2016,5544,0.92,0.89,,,-0.03,[Fe/H],4.68
1086,Kepler-1123,b,Transit,1,4.33946454,,,,,,,0.149,1.67,,2016,5500,0.93,0.9,,,0.05,[Fe/H],5.13
1087,Kepler-1124,b,Transit,1,2.85234897,,,,,,,0.114,1.28,,2016,3658,0.35,0.34,,,-0.59,[Fe/H],3.39
1088,Kepler-1125,b,Transit,1,17.6700642,,,,,,,0.164,1.84,,2016,5683,0.95,0.94,,,-0.09,[Fe/H],4.17
1089,Kepler-1126,b,Transit,1,108.593329,,,,,,,0.154,1.73,,2016,5798,0.92,0.93,,,-0.26,[Fe/H],5.5
1090,Kepler-1127,b,Transit,1,5.12330347,,,,,,,0.175,1.96,,2016,5664,0.97,0.95,,,0.04,[Fe/H],4.37
1091,Kepler-1128,b,Transit,1,61.6178167,,,,,,,0.326,3.65,,2016,5543,0.94,0.91,,,0.04,[Fe/H],4.57
1092,Kepler-1129,b,Transit,2,24.3397804,,,,,,,0.264,2.96,,2016,5831,1,1,,,-0.04,[Fe/H],4.07
1093,Kepler-1129,c,Transit,2,76.5369586,,,,,,,0.244,2.73,,2016,5831,1,1,,,-0.04,[Fe/H],4.07
1094,Kepler-113,b,Transit,2,4.754,,,,0.037,0.037,11.7,0.162,1.82,10.73,2014,4725,0.75,0.69,,2.71,0.05,[Fe/H],6.89
1095,Kepler-113,c,Transit,2,8.92507,,,,,,,0.194,2.18,,2014,4725,0.75,0.69,,2.71,0.05,[Fe/H],6.89
1096,Kepler-1130,b,Transit,1,5.45298175,,,,,,,0.071,0.8,,2016,5403,0.9,0.81,,,-0.06,[Fe/H],1.58
1097,Kepler-1131,b,Transit,1,3.53232449,,,,,,,0.142,1.59,,2016,5851,1.03,1.04,,,0.05,[Fe/H],4.17
1098,Kepler-1132,b,Transit,1,62.8916228,,,,,,,0.21,2.35,,2016,5298,0.87,0.83,,,-0.01,[Fe/H],4.57
1099,Kepler-1133,b,Transit,1,11.55562343,,,,,,,0.176,1.97,,2016,5569,0.93,0.9,,,-0.02,[Fe/H],4.07
1100,Kepler-1134,b,Transit,1,17.13263989,,,,,,,0.236,2.64,,2016,5281,0.84,0.81,,,-0.1,[Fe/H],4.9
1101,Kepler-1135,b,Transit,1,76.957857,,,,,,,0.165,1.85,,2016,5656,0.96,0.94,,,0.02,[Fe/H],4.47
1102,Kepler-1136,b,Transit,1,2.36172433,,,,,,,0.146,1.64,,2016,4512,0.72,0.68,,,0.03,[Fe/H],3.24
1103,Kepler-1137,b,Transit,1,23.9210791,,,,,,,0.196,2.2,,2016,6807,1.5,1.84,,,0.05,[Fe/H],1.58
1104,Kepler-1138,b,Transit,1,3.17060005,,,,,,,0.152,1.7,,2016,5582,0.95,0.92,,,0.04,[Fe/H],4.37
