rowid,Star name,planet letter,Method,No de planetas,Periodo dias,Semi eje,excentricidad,Inlcinacion,Masa sin (Mjup),Masa (Mjup),Masa (Mtierra),Radio (Rjup),Radio tierra,Densidad pl gr/cm^3,Año,Teff (K),Masa (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Razón de metalicidad,Edad estr
1,11 Com,b,Radial Velocity,1,326.03,1.29,0.231,,19.4,,,,,,2007,4742,2.7,19,K0 III,,-0.35,[Fe/H],
2,11 UMi,b,Radial Velocity,1,516.22,1.54,0.08,,10.5,,,,,,2009,4340,1.8,24.08,K4 III,,0.04,[Fe/H],1.56
3,14 And,b,Radial Velocity,1,185.84,0.83,0,,4.8,,,,,,2008,4813,2.2,11,G8 III,,-0.24,[Fe/H],
4,14 Her,b,Radial Velocity,1,1773.4,2.77,0.369,,4.64,,,,,,2002,5311,0.9,,K0 V,,0.43,[Fe/H],
5,16 Cyg B,b,Radial Velocity,1,798.5,1.681,0.681,,1.68,,,,,,1996,5674,0.99,,G2.5 V,,0.038,[Fe/H],
6,18 Del,b,Radial Velocity,1,993.3,2.6,0.08,,10.3,,,,,,2008,4979,2.3,8.5,G6 III,,-0.052,[Fe/H],
7,1RXS J160929.1-210524,b,Imaging,1,,330,,,8,8,3000,,,,2008,4060,0.85,,K7 V,,,,0.005
8,24 Sex,b,Radial Velocity,2,452.8,1.333,0.09,,1.99,,,,,,2010,5098,1.54,4.9,K0 IV,,-0.03,[Fe/H],2.7
9,24 Sex,c,Radial Velocity,2,883,2.08,0.29,,0.86,,,,,,2010,5098,1.54,4.9,K0 IV,,-0.03,[Fe/H],2.7
10,2MASS J01225093-2439505,b,Imaging,1,,52,,,24.5,24.5,7786.5,,,,2013,3530,0.4,,M3.5 V,,,,0.12
11,2MASS J02192210-3925225,b,Imaging,1,,156,,,13.9,13.9,4417.837,1.44,16.141,,2015,3064,0.11,0.28,M6,,,,0.035
12,2MASS J04414489+2301513,b,Imaging,1,,15,,,7.5,7.5,2383.6,,,,2010,,0.02,,M8.5,,,,0.001
13,2MASS J12073346-3932539,b,Imaging,1,,46,,,4,4,1271,,,,2004,,0.02,,M8,,,,0.008
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416,0.92,,,1.9,1.9,603.877,,,,2015,,0.48,,,,,,
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.5,,0.26,46.2,20.95,20.95,6657.48,0.92,10.31,,2009,2300,0.08,0.12,M8.5,,,,
16,2MASS J22362452+4751425,b,Imaging,1,,230,,,12.5,12.5,3972.875,,,,2016,4045,0.6,,K7 V,,,,0.12
17,30 Ari B,b,Radial Velocity,1,335.1,0.995,0.289,,9.88,,,,,,2009,6300,1.16,1.13,F6 V,,0.245,[Fe/H],0.91
18,4 UMa,b,Radial Velocity,1,269.3,0.87,0.432,,7.1,,,,,,2006,4415,1.23,18.11,K1 III,,-0.25,[Fe/H],4.604
19,42 Dra,b,Radial Velocity,1,479.1,1.19,0.38,,3.88,,,,,,2008,4200,0.98,22.03,K1.5 III,,-0.46,[Fe/H],9.49
20,47 UMa,b,Radial Velocity,3,1078,2.1,0.032,,2.53,,,,,,1996,5892,1.03,1.23,G0 V,,0,[Fe/H],7.3
21,47 UMa,c,Radial Velocity,3,2391,3.6,0.098,,0.54,,,,,,2001,5892,1.03,1.23,G0 V,,0,[Fe/H],7.3
22,47 UMa,d,Radial Velocity,3,14002,11.6,0.16,,1.64,,,,,,2009,5892,1.03,1.23,G0 V,,0,[Fe/H],7.3
23,51 Eri,b,Imaging,1,,13.2,,,2,2,635.66,,,,2015,,1.75,,F0 IV,,-0.027,[M/H],0.02
24,51 Peg,b,Radial Velocity,1,4.230785,0.0527,0.013,,0.472,,,,,,1995,5793,1.12,1.2,G2.5 IV,,0.2,[Fe/H],4
25,55 Cnc,b,Radial Velocity,5,14.65152,0.115227,0.0034,90,0.8306,0.8306,263.9785,,,,1996,5196,0.91,0.94,G8 V,,0.31,[Fe/H],10.2
26,55 Cnc,c,Radial Velocity,5,44.4175,0.241376,0.02,90,0.1714,0.1714,54.4738,,,,2004,5196,0.91,0.94,G8 V,,0.31,[Fe/H],10.2
27,55 Cnc,d,Radial Velocity,5,4825,5.503,0.019,90,3.878,3.878,1232.493,,,,2002,5196,0.91,0.94,G8 V,,0.31,[Fe/H],10.2
28,55 Cnc,e,Radial Velocity,5,0.736539,0.01544,,83.3,0.02542,0.02542,8.08,0.17,1.91,6.4,2004,5196,0.91,0.94,G8 V,,0.31,[Fe/H],10.2
29,55 Cnc,f,Radial Velocity,5,262,0.788,0.305,90,0.141,0.141,44.812,,,,2007,5196,0.91,0.94,G8 V,,0.31,[Fe/H],10.2
30,6 Lyn,b,Radial Velocity,1,874.774,2.18,0.125,,2.21,,,,,,2008,4978,1.7,5.2,K0 III-IV,,-0.13,[Fe/H],
31,61 Vir,b,Radial Velocity,3,4.215,0.050201,0.12,,0.016,,,,,,2009,5577,0.94,0.96,G5 V,,-0.01,[Fe/H],8.96
32,61 Vir,c,Radial Velocity,3,38.021,0.2175,0.14,,0.057,,,,,,2009,5577,0.94,0.96,G5 V,,-0.01,[Fe/H],8.96
33,61 Vir,d,Radial Velocity,3,123.01,0.476,0.35,,0.072,,,,,,2009,5577,0.94,0.96,G5 V,,-0.01,[Fe/H],8.96
34,7 CMa,b,Radial Velocity,1,796,1.93,0.22,,2.46,,,,,,2011,4792,1.52,2.3,K1 III,,0.21,[Fe/H],
35,70 Vir,b,Radial Velocity,1,116.6926,0.481,0.399,,7.4,,,,,,1996,5439,1.09,1.94,G4 V,,-0.09,[Fe/H],7.77
36,75 Cet,b,Radial Velocity,1,691.9,2.1,0.117,,3,,,,,,2012,4846,2.49,10.5,G3 III,,0,[Fe/H],
37,8 UMi,b,Radial Velocity,1,93.4,0.49,0.06,,1.5,,,,,,2015,4847.4,1.8,9.9,K0,,-0.03,[Fe/H],1.7
38,81 Cet,b,Radial Velocity,1,952.7,2.5,0.206,,5.3,,,,,,2008,4785,2.4,11,G5 III,,-0.06,[Fe/H],
39,91 Aqr,b,Radial Velocity,1,181.4,0.7,0.027,,3.2,,,,,,2013,4665,1.4,11,K0 III,,-0.03,[Fe/H],3.56
40,AB Pic,b,Imaging,1,,260,,,13.5,13.5,4290.5,,,,2005,,,,K2 V,,,,0.03
41,BD+03 2562,b,Radial Velocity,1,481.9,1.3,0.2,,6.4,,,,,,2017,4095,1.14,32.35,,,-0.71,[Fe/H],5.2
42,BD+14 4559,b,Radial Velocity,1,268.94,0.777,0.29,,1.47,,,,,,2009,5008,0.86,0.95,K2 V,,0.1,[Fe/H],
43,BD+15 2375,b,Radial Velocity,1,153.22,0.576,0.001,,1.061,,,,,,2016,4649,1.08,8.95,,,-0.22,[Fe/H],7.41
44,BD+15 2940,b,Radial Velocity,1,137.48,0.539,0.26,,1.11,,,,,,2013,4796,1.1,14.7,K0,,0.28,[Fe/H],7.1
45,BD+20 1790,b,Radial Velocity,1,7.78287,0.066,0.22,,6.37,,,,,,2010,4410,0.63,0.71,K5 V,,0.3,,0.058
46,BD+20 2457,b,Radial Velocity,2,379.63,1.45,0.15,,21.42,,,,,,2009,4137,2.8,49,K2 II,,-1,[Fe/H],
47,BD+20 2457,c,Radial Velocity,2,621.99,2.01,0.18,,12.47,,,,,,2009,4137,2.8,49,K2 II,,-1,[Fe/H],
48,BD+20 274,b,Radial Velocity,1,578.2,1.3,0.21,,4.2,,,,,,2012,4296,0.8,17.3,K5 III,,-0.46,[Fe/H],
49,BD+20 594,b,Transit,1,41.6855,0.241,0,89.55,0.05129,0.05129,16.3,0.199,2.23,7.89,2016,5766,0.96,0.93,G,1.7,-0.15,[Fe/H],3.34
50,BD+48 738,b,Radial Velocity,1,392.6,1,0.2,,0.91,,,,,,2011,4414,0.74,11,K0 III,,-0.2,[Fe/H],
51,BD+49 828,b,Radial Velocity,1,2590,4.2,0.35,,1.6,,,,,,2015,4943,1.52,7.6,K0,,-0.19,[Fe/H],2.34
52,BD-06 1339,b,Radial Velocity,2,3.8728,0.0428,0,,0.027,,,,,,2013,4324,0.7,,K7/M0 V,,-0.14,[Fe/H],4.4
53,BD-06 1339,c,Radial Velocity,2,125.94,0.435,0.31,,0.17,,,,,,2013,4324,0.7,,K7/M0 V,,-0.14,[Fe/H],4.4
54,BD-08 2823,b,Radial Velocity,2,5.6,0.056,0.15,,0.045,,,,,,2009,4746,0.74,,K3 V,,-0.07,[Fe/H],4.5
55,BD-08 2823,c,Radial Velocity,2,237.6,0.68,0.19,,0.33,,,,,,2009,4746,0.74,,K3 V,,-0.07,[Fe/H],4.5
56,BD-10 3166,b,Radial Velocity,1,3.48777,0.0452,0.019,,0.458,,,,,,2000,5393,1.01,,K0 V,,0.382,[Fe/H],
57,BD-11 4672,b,Radial Velocity,1,1667,2.28,0.05,,0.53,,,,,,2014,4475,0.57,0.52,K7 V,,-0.48,[Fe/H],4.4
58,BD-13 2130,b,Radial Velocity,1,714.3,2.1,0.21,,10.6,,,,,,2007,,2.4,,G5 IV/V,,,,0.74
59,BD-17 63,b,Radial Velocity,1,655.6,1.34,0.54,,5.1,,,,,,2008,4714,0.74,0.69,K5 V,,-0.03,[Fe/H],4.3
60,CFBDSIR J145829+101343,b,Imaging,1,10037.5,2.6,,,10.5,10.5,3337.1,,,,2011,580.5,0.02,,,,,,
61,CHXR 73,b,Imaging,1,,210,,,12.569,12.569,3994.486,,,,2006,,0.35,,M3.5,,,,0.002
62,CT Cha,b,Imaging,1,,440,,,17,17,5403,2.2,24.66,,2007,,,,,,,,0.002
63,CoRoT-1,b,Transit,1,1.5089557,,0,85.1,1.03,1.03,327.35,1.49,16.7,0.38,2008,5950,0.95,1.11,G0 V,,-0.3,[M/H],
64,CoRoT-10,b,Transit,1,13.2406,0.1055,0.53,88.55,2.75,2.75,874,0.97,10.87,3.7,2010,5075,0.89,0.79,K1 V,3.32,0.26,[Fe/H],3
65,CoRoT-11,b,Transit,1,2.99433,0.0436,0,83.17,2.33,2.33,740.51,1.43,16.03,0.99,2010,6440,1.27,1.37,F6 V,0.69,-0.03,[Fe/H],2
66,CoRoT-12,b,Transit,1,2.828042,0.04016,0.07,85.48,0.917,0.917,291.438,1.44,16.14,0.411,2010,5675,1.08,1.12,,1.08,0.16,[Fe/H],6.3
67,CoRoT-13,b,Transit,1,4.03519,0.051,0,88.02,1.308,1.308,415.704,0.885,9.92,2.34,2010,5945,1.09,1.01,G0 V,1.468,0.01,[Fe/H],1.635
68,CoRoT-14,b,Transit,1,1.51214,0.027,0,79.6,7.6,7.6,2415.4,1.09,12.22,7.3,2010,6035,1.13,1.21,F9 V,0.91,0.05,[Fe/H],4.2
69,CoRoT-16,b,Transit,1,5.35227,0.0618,0.33,85.01,0.535,0.535,170.032,1.17,13.11,0.44,2011,5650,1.1,1.19,G5 V,0.93,0.19,[M/H],6.73
70,CoRoT-17,b,Transit,1,3.7681,0.0461,0,88.34,2.43,2.43,772.29,1.02,11.43,2.82,2011,5740,1.04,1.59,G2 V,0.32,0,[Fe/H],10.7
71,CoRoT-18,b,Transit,1,1.9000693,0.0295,0.08,86.5,3.47,3.47,1102.82,1.31,14.68,2.2,2011,5440,0.95,1,G9 V,1.35,-0.1,[Fe/H],
72,CoRoT-19,b,Transit,1,3.89713,0.0518,0.047,88,1.11,1.11,352.78,1.29,14.46,0.71,2011,6090,1.21,1.65,F9 V,0.38,-0.02,[Fe/H],5
73,CoRoT-2,b,Transit,1,1.7429935,0.02798,0.0143,88.08,3.47,3.47,1102.82,1.466,16.432,1.47,2008,5625,0.96,0.91,,1.814,,,2.7
74,CoRoT-20,b,Transit,1,9.24285,0.0902,0.562,88.21,4.24,4.24,1347.54,0.84,9.42,8.87,2011,5880,1.14,1.02,G2 V,1.51,0.14,[Fe/H],0.1
75,CoRoT-22,b,Transit,1,9.75598,0.092,0.077,89.749,0.038,0.038,12.2,0.435,4.88,0.249,2014,5939,1.1,1.14,G3 V,1.027,0.17,[Fe/H],3.3
76,CoRoT-23,b,Transit,1,3.6313,0.048,0.16,85.7,2.8,2.8,889.9,1.05,11.77,3,2011,5900,1.14,1.61,G0 V,0.5,0.05,[Fe/H],7.2
77,CoRoT-24,b,Transit,2,5.1134,0.056,0,86.5,0.018,0.018,5.7,0.33,3.7,0.9,2014,4950,0.91,0.86,K1 V,,0.3,[Fe/H],11
78,CoRoT-24,c,Transit,2,11.759,0.098,0,89,0.088,0.088,28,0.44,5,1.3,2014,4950,0.91,0.86,K1 V,,0.3,[Fe/H],11
79,CoRoT-25,b,Transit,1,4.86069,0.0578,0,84.5,0.27,0.27,85.81,1.08,12.11,0.15,2013,6040,1.09,1.19,F9,,-0.01,[Fe/H],4.5
80,CoRoT-26,b,Transit,1,4.20474,0.0526,0,86.8,0.52,0.52,165.26,1.26,14.12,0.28,2013,5590,1.09,1.79,G5,,0.01,[Fe/H],8.6
81,CoRoT-27,b,Transit,1,3.57532,0.0476,0.065,86.7,10.39,10.39,3302.11,1.007,11.287,12.6,2014,5900,1.05,1.08,G2,1.24,-0.1,[M/H],4.21
82,CoRoT-28,b,Transit,1,5.20851,0.0603,0.047,88.1,0.484,0.484,153.82972,0.955,10.705,0.69,2015,5150,1.01,1.78,G8/9 IV,0.27,0.15,[Fe/H],12
83,CoRoT-29,b,Transit,1,2.85057,0.0386,0.082,87.3,0.85,0.85,270.1555,0.9,10.088,1.45,2015,5260,0.97,0.9,K0 V,1.825,0.2,[Fe/H],4.5
84,CoRoT-3,b,Transit,1,4.2568,,0,85.9,21.66,21.66,6883.91,1.01,11.32,26.4,2008,6740,1.37,1.56,F3 V,,,,2.2
85,CoRoT-4,b,Transit,1,9.20205,0.09,0,90,0.72,0.72,228.83,1.19,13.34,0.525,2008,6190,1.16,1.17,,,,,1
86,CoRoT-5,b,Transit,1,4.0378962,0.04947,0.09,85.83,0.467,0.467,148.42,1.388,15.558,0.217,2009,6100,1,1.19,F9 V,,-0.25,[M/H],6.9
87,CoRoT-6,b,Transit,1,8.886593,0.0855,0.1,89.07,2.96,2.96,940.74,1.166,13.068,2.32,2009,6090,1.05,1.02,F9 V,,-0.2,[Fe/H],
88,CoRoT-7,b,Transit,2,0.85359159,0.017016,0,80.78,0.018,0.018,5.74,0.141,1.585,7.5,2009,5259,0.91,0.82,G9 V,2.354,0.138,[Fe/H],1.32
89,CoRoT-7,c,Radial Velocity,2,3.698,0.046,0,80,0.02643,0.02643,8.4,,,,2009,5259,0.91,0.82,G9 V,2.354,0.138,[Fe/H],1.32
90,CoRoT-8,b,Transit,1,6.21229,0.063,0,88.4,0.22,0.22,69.92,0.57,6.39,1.6,2010,5080,0.88,0.77,K1 V,2.7,0.3,[M/H],3
91,CoRoT-9,b,Transit,1,95.2738,0.407,0.11,89.99,0.84,0.84,266.97,1.05,11.77,0.9,2009,5625,0.99,0.94,G3 V,1.68,-0.01,[M/H],
92,DENIS-P J082303.1-491201,b,Astrometry,1,246.36,0.36,0.345,56.6,28.5,28.5,9057.77,,,,2013,,0.07,,L1.5,,,,1
93,DH Tau,b,Imaging,1,,330,,,11,11,3496,,,,2004,,0.33,0.27,M0.5,,,,0.001
94,DP Leo,b,Eclipse Timing Variations,1,10220,8.19,0.39,,6.05,,,,,,2009,,0.69,,,,,,
95,EPIC 211822797,b,Transit,1,21.169619,,0.18,89.5,,,,0.196,2.2,,2016,3880,0.61,0.59,,4.2,0.14,[Fe/H],0.79
96,EPIC 220674823,b,Transit,2,0.571308,,0,80.2,,,,0.13,1.46,,2016,5590,0.93,0.83,G5,,0.025,[Fe/H],5
97,EPIC 220674823,c,Transit,2,13.341245,,0,87.2,,,,0.226,2.53,,2016,5590,0.93,0.83,G5,,0.025,[Fe/H],5
98,FU Tau,b,Imaging,1,,800,,,16,16,5085.28,,,,2008,2838,0.05,,M7.25,,,,0.001
99,Fomalhaut,b,Imaging,1,555530,160,0.87,55,,,,,,,2008,,2,,A3 V,,,,0.2
100,GJ 1132,b,Transit,1,1.62893,,0,,0.0051,0.0051,1.62,0.103,1.16,6,2015,3270,0.18,0.21,M4.5 V,29.6,-0.12,[Fe/H],5
101,GJ 1214,b,Transit,1,1.58040456,0.01411,,88.17,0.0197,0.0197,6.26125,0.254,2.847,1.49,2009,3170,0.16,0.18,M4.5,38.4,0,[Fe/H],
102,GJ 15 A,b,Radial Velocity,1,11.4433,0.0717,0,,0.017,,,,,,2014,3567,0.38,0.39,M2 V,,-0.32,[Fe/H],
103,GJ 163,b,Radial Velocity,3,8.63182,0.0607,0.073,,0.03335,,,,,,2013,3500,0.4,,M3.5 V,,0.1,[Fe/H],6
104,GJ 163,c,Radial Velocity,3,25.63058,0.1254,0.099,,0.0214,,,,,,2013,3500,0.4,,M3.5 V,,0.1,[Fe/H],6
105,GJ 163,d,Radial Velocity,3,603.95116,1.0304,0.373,,0.0925,,,,,,2013,3500,0.4,,M3.5 V,,0.1,[Fe/H],6
106,GJ 179,b,Radial Velocity,1,2288,2.41,0.21,,0.82,,,,,,2009,3370,0.36,0.38,M3.5 V,,0.3,[Fe/H],
107,GJ 273,b,Radial Velocity,2,18.6498,0.091101,0.1,,0.00909,,,,,,2017,3382,0.29,0.29,M3.5,,0.09,[Fe/H],
108,GJ 273,c,Radial Velocity,2,4.7234,0.036467,0.17,,0.00371,,,,,,2017,3382,0.29,0.29,M3.5,,0.09,[Fe/H],
109,GJ 3021,b,Radial Velocity,1,133.71,0.49,0.511,,3.37,,,,,,2000,5540,0.9,0.9,G6 V,,0.1,[Fe/H],
110,GJ 3138,b,Radial Velocity,3,1.22003,0.0197,0.19,,0.0056,,,,,,2017,3717,0.68,0.5,M0,,-0.3,[Fe/H],
111,GJ 3138,c,Radial Velocity,3,5.974,0.057,0.11,,0.01315,,,,,,2017,3717,0.68,0.5,M0,,-0.3,[Fe/H],
112,GJ 3138,d,Radial Velocity,3,257.8,0.698,0.32,,0.03304,,,,,,2017,3717,0.68,0.5,M0,,-0.3,[Fe/H],
113,GJ 317,b,Radial Velocity,1,692,1.15,0.11,45,2.5,2.5,794.5,,,,2007,3510,0.42,,M2.5 V,,0.36,[Fe/H],5
114,GJ 328,b,Radial Velocity,1,4100,4.5,0.37,,2.3,,,,,,2013,3900,0.69,,M1,,0,[M/H],
115,GJ 3293,b,Radial Velocity,4,30.5987,0.14339,0.06,,0.07406,,,,,,2015,3466,0.42,0.4,M2.5,,0.02,[Fe/H],
116,GJ 3293,c,Radial Velocity,4,122.6196,0.36175,0.11,,0.06636,,,,,,2015,3466,0.42,0.4,M2.5,,0.02,[Fe/H],
117,GJ 3293,d,Radial Velocity,4,48.1345,0.19394,0.12,,0.02391,,,,,,2017,3466,0.42,0.4,M2.5,,0.02,[Fe/H],
118,GJ 3293,e,Radial Velocity,4,13.2543,0.08208,0.21,,0.01032,,,,,,2017,3466,0.42,0.4,M2.5,,0.02,[Fe/H],
119,GJ 3323,b,Radial Velocity,2,5.3636,0.03282,0.23,,0.00636,,,,,,2017,3159,0.16,0.12,M4,,-0.27,[Fe/H],
120,GJ 3323,c,Radial Velocity,2,40.54,0.1264,0.17,,0.00727,,,,,,2017,3159,0.16,0.12,M4,,-0.27,[Fe/H],
121,GJ 3341,b,Radial Velocity,1,14.207,0.089,0.31,,0.0208,,,,,,2015,3526,0.47,0.44,M2.5,,-0.09,[Fe/H],
122,GJ 3470,b,Radial Velocity,1,3.3366487,0.031,0.017,88.88,0.043,0.043,13.73,0.346,3.88,1.18,2012,3652,0.51,0.48,M1.5,6.51,0.18,[Fe/H],2.5
123,GJ 3634,b,Radial Velocity,1,2.64561,0.0287,0.08,59,0.026,0.026,8.4,,,,2010,,0.45,0.43,M2.5,,,,5
124,GJ 3998,b,Radial Velocity,2,2.64977,0.029,0,,0.00777,,,,,,2016,3722,0.5,0.49,M1,,-0.16,[Fe/H],
125,GJ 3998,c,Radial Velocity,2,13.74,0.089,0.049,,0.0197,,,,,,2016,3722,0.5,0.49,M1,,-0.16,[Fe/H],
126,GJ 433,b,Radial Velocity,1,7.3709,0.058,0.08,,0.018,,,,,,2011,3600,0.48,,M1.5,,-0.22,[Fe/H],
127,GJ 436,b,Radial Velocity,1,2.64388312,0.0291,0.13827,86.44,0.07,0.07,22.1,0.372,4.17,1.8,2004,,0.47,0.46,M2.5 V,7,,,
128,GJ 504,b,Imaging,1,,43.5,,,4,4,1271.3,,,,2013,6234,1.22,,G0 V,,0.28,[Fe/H],0.16
129,GJ 536,b,Radial Velocity,1,8.7076,0.06661,0.08,,0.01686,,,,,,2016,3685,0.52,0.5,M1 V,,-0.08,[Fe/H],
130,GJ 581,b,Radial Velocity,3,5.3686,0.04061,0,,0.0497,,,,,,2005,,0.31,0.29,M3 V,,-0.25,[Fe/H],2
131,GJ 581,c,Radial Velocity,3,12.914,0.0721,0,,0.0173,,,,,,2007,,0.31,0.29,M3 V,,-0.25,[Fe/H],2
132,GJ 581,e,Radial Velocity,3,3.149,0.02815,0,,0.0053,,,,,,2009,,0.31,0.29,M3 V,,-0.25,[Fe/H],2
133,GJ 649,b,Radial Velocity,1,598.3,1.135,0.3,,0.328,,,,,,2009,3700,0.54,,M0.5,,0.08,[Fe/H],
134,GJ 667 C,b,Radial Velocity,5,7.2004,0.0505,0.13,,0.018,,,,,,2011,3350,0.33,,M1.5 V,,-0.55,[Fe/H],2
135,GJ 667 C,c,Radial Velocity,5,28.14,0.125,0.02,,0.012,,,,,,2011,3350,0.33,,M1.5 V,,-0.55,[Fe/H],2
136,GJ 667 C,e,Radial Velocity,5,62.24,0.213,0.02,,0.008,,,,,,2013,3350,0.33,,M1.5 V,,-0.55,[Fe/H],2
137,GJ 667 C,f,Radial Velocity,5,39.026,0.156,0.03,,0.008,,,,,,2013,3350,0.33,,M1.5 V,,-0.55,[Fe/H],2
138,GJ 667 C,g,Radial Velocity,5,256.2,0.549,0.08,,0.014,,,,,,2013,3350,0.33,,M1.5 V,,-0.55,[Fe/H],2
139,GJ 674,b,Radial Velocity,1,4.6938,0.039,0.2,,0.035,,,,,,2007,3600,0.35,,M2.5,,-0.28,[Fe/H],0.55
140,GJ 676 A,b,Radial Velocity,4,1051.1,1.812,0.323,45,6.7,6.7,2129.461,,,,2010,,0.71,,M0 V,,0.23,[Fe/H],
141,GJ 676 A,c,Radial Velocity,4,7337,6.6,,,6.8,,,,,,2016,,0.71,,M0 V,,0.23,[Fe/H],
142,GJ 676 A,d,Radial Velocity,4,3.6005,,0.262,,0.014,,,,,,2012,,0.71,,M0 V,,0.23,[Fe/H],
143,GJ 676 A,e,Radial Velocity,4,35.39,,0.125,,0.025,,,,,,2012,,0.71,,M0 V,,0.23,[Fe/H],
144,GJ 687,b,Radial Velocity,1,38.14,0.16353,0.04,,0.058,,,,,,2014,3413,0.41,0.42,M3 V,,,,
145,GJ 832,b,Radial Velocity,2,3657,3.56,0.08,,0.68,,,,,,2008,3472,0.45,,M1.5,,-0.3,[Fe/H],
146,GJ 832,c,Radial Velocity,2,35.68,0.163,0.18,,0.017,,,,,,2014,3472,0.45,,M1.5,,-0.3,[Fe/H],
147,GJ 849,b,Radial Velocity,1,1845,2.32,0.05,,0.91,,,,,,2006,,0.49,,M3 V,,,,
148,GJ 86,b,Radial Velocity,1,15.76491,0.113,0.0416,,3.91,,,,,,1999,5151,0.77,,K1 V,,-0.268,[Fe/H],
149,GJ 876,b,Radial Velocity,4,61.1166,0.208317,0.0324,59,2.2756,2.2756,723.2235,,,,1998,,0.33,,M4,,0.05,[Fe/H],2.55
150,GJ 876,c,Radial Velocity,4,30.0881,0.12959,0.25591,59,0.7142,0.7142,226.9846,,,,2000,,0.33,,M4,,0.05,[Fe/H],2.55
151,GJ 876,d,Radial Velocity,4,1.93778,0.020807,0.207,59,0.021,0.021,6.83,,,,2005,,0.33,,M4,,0.05,[Fe/H],2.55
152,GJ 876,e,Radial Velocity,4,124.26,0.3343,0.055,59,0.046,0.046,14.6,,,,2010,,0.33,,M4,,0.05,[Fe/H],2.55
153,GQ Lup,b,Imaging,1,,100,,,20,20,6356,3,33.6,,2004,,0.7,,K7e V,,,,0.001
154,GSC 06214-00210,b,Imaging,1,,320,,,16,16,5000,,,,2010,4200,0.9,,K7,,,,0.005
155,GU Psc,b,Imaging,1,,2000,,,11.3,11.3,3591.3,1.265,14.179,,2014,,0.33,,M3,,0.1,[Fe/H],0.1
156,HAT-P-1,b,Transit,1,4.46529976,0.05561,,85.634,0.525,0.525,166.86075,1.319,14.785,0.282,2006,5980,1.15,1.17,G0 V,0.908,0.13,[Fe/H],
157,HAT-P-11,b,Transit,1,4.8878162,0.053,0.198,88.5,0.081,0.081,25.743,0.422,4.73,1.33,2008,4780,0.81,0.75,K4,,0.31,[Fe/H],6.5
158,HAT-P-12,b,Transit,1,3.2130598,0.0384,0,89,0.211,0.211,67.059,0.959,10.749,0.3192,2009,4650,0.73,0.7,K4,,-0.29,[Fe/H],2.5
159,HAT-P-13,b,Transit,2,2.91625,,0.0133,83.4,0.851,0.851,270.462,1.272,14.258,,2009,5653,1.22,1.56,G4,,0.41,[Fe/H],5
160,HAT-P-13,c,Radial Velocity,2,446.27,,0.6616,,14.28,,,,,,2009,5653,1.22,1.56,G4,,0.41,[Fe/H],5
161,HAT-P-14,b,Transit,1,4.627669,0.0606,0.107,83.5,2.232,2.232,709.367,1.15,12.89,1.82,2010,6600,1.39,1.47,F,,0.11,[Fe/H],1.3
162,HAT-P-15,b,Transit,1,10.863502,0.0964,0.19,89.1,1.946,1.946,618.471,1.072,12.016,1.96,2010,5568,1.01,1.08,G5,,0.22,[Fe/H],6.8
163,HAT-P-16,b,Transit,1,2.77596,0.0413,0.036,86.6,4.193,4.193,1332.605,1.289,14.448,2.42,2010,6158,1.22,1.24,F8,,0.17,[Fe/H],2
164,HAT-P-17,b,Transit,2,10.338523,0.0882,0.342,89.2,0.534,0.534,169.71,1.01,11.321,0.64,2010,5246,0.86,0.84,K,,0,[Fe/H],7.8
165,HAT-P-17,c,Radial Velocity,2,5584,5.6,0.39,,3.4,,,,,,2010,5246,0.86,0.84,K,,0,[Fe/H],7.8
166,HAT-P-18,b,Transit,1,5.508023,0.0559,0.084,88.8,0.197,0.197,62.61,0.995,11.153,0.25,2010,4803,0.77,0.75,K2,,0.1,[Fe/H],12.4
167,HAT-P-19,b,Transit,1,4.008778,0.0466,0.067,88.2,0.292,0.292,92.802,1.132,12.689,0.25,2010,4990,0.84,0.82,K1,,0.23,[Fe/H],8.8
168,HAT-P-2,b,Transit,1,5.6334729,0.06878,0.5171,86.72,9.09,9.09,2888.95,1.157,12.969,7.29,2007,6290,1.36,1.64,F8,,0.14,[Fe/H],2.6
169,HAT-P-20,b,Transit,1,2.875317,0.0361,0.015,86.8,7.246,7.246,2302.899,0.867,9.718,13.78,2010,4595,0.76,0.69,K3,,0.35,[Fe/H],6.7
170,HAT-P-21,b,Transit,1,4.124481,0.0494,0.228,87.2,4.063,4.063,1291.289,1.024,11.478,4.68,2010,5588,0.95,1.1,G3,,0.01,[Fe/H],10.2
171,HAT-P-22,b,Transit,1,3.21222,0.0414,0.016,86.9,2.147,2.147,682.352,1.08,12.106,2.11,2010,5302,0.92,1.04,G5,,0.24,[Fe/H],12.4
172,HAT-P-23,b,Transit,1,1.21288287,0.02302,0,85.74,2.07,2.07,658,1.224,13.72,1.406,2010,5885,1.1,1.09,G0,1.204,0.13,[Fe/H],2.1
173,HAT-P-24,b,Transit,1,3.35524,0.0465,0.067,88.6,0.685,0.685,217.704,1.242,13.922,0.44,2010,6373,1.19,1.32,F8,,-0.16,[Fe/H],2.8
