NAME,Semi-eje (UA),Masa pl (Mjup),Rpl (R jup),Densidad pl (gr/cm^3),Periodo (dias),excentricidad,I deg,Año,Nombre estr,Masa estr (Msol),Radio estr (Rsol),Teff,Densidad estr g/cm^3,Metalicidad,Metodo
Kepler-1328 b,0.053514,0.00266535,0.087,,4.52158888,0,,2016,Kepler-1328,1,0.99,5780,,0,Transit
Kepler-1329 b,0.0777748,0.0162741,0.194,,9.33646594,0,,2016,Kepler-1329,0.72,0.69,4500,,0.02,Transit
Kepler-133 b,0.0791285,0.0129814,0.157017,,8.129976,,,2014,Kepler-133,,1.425,5736,,,Transit
Kepler-133 c,0.195273,0.0242535,0.253368,,31.517586,,,2014,Kepler-133,,1.425,5736,,,Transit
Kepler-1330 b,0.090566,0.0122275,0.147,,10.10769068,0,,2016,Kepler-1330,0.97,0.94,5608,,0.08,Transit
Kepler-1331 b,0.0149794,0.00351465,0.094,,0.78916165,0,,2016,Kepler-1331,0.72,0.69,4508,,0.05,Transit
Kepler-1332 b,0.100137,0.00866602,0.122,,11.87456832,0,,2016,Kepler-1332,0.95,0.9,5581,,0,Transit
Kepler-1333 b,0.439185,0.0238504,0.251,,109.6471842,0,,2016,Kepler-1333,0.94,0.92,5628,,-0.04,Transit
Kepler-1334 b,0.119927,0.0173469,0.204,,15.64591713,0,,2016,Kepler-1334,0.94,0.91,5614,,-0.03,Transit
Kepler-1335 b,0.0609548,0.010441,0.129,,6.26406846,0,,2016,Kepler-1335,0.77,0.74,4903,,-0.07,Transit
Kepler-1336 b,0.15594,0.014644,0.177,,23.198681,0,,2016,Kepler-1336,0.94,1.3,5512,,0.05,Transit
Kepler-1336 c,0.061725,0.0126737,0.153,,5.77721211,0,,2016,Kepler-1336,0.94,1.3,5512,,0.05,Transit
Kepler-1337 b,0.146185,0.0186391,0.215,,24.4002549,0,,2016,Kepler-1337,0.7,0.67,4523,,-0.09,Transit
Kepler-1338 b,0.018961,0.00215846,0.082,,0.93511806,0,,2016,Kepler-1338,1.04,1.05,5909,,0,Transit
Kepler-1339 b,0.0233196,0.000852625,0.063,,1.34155513,0,,2016,Kepler-1339,0.94,0.93,5586,,0.01,Transit
Kepler-134 b,0.0596222,0.0147725,0.178428,,5.317429,,,2014,Kepler-134,,1.176,5983,,,Transit
Kepler-134 c,0.0914787,0.00656354,0.11241,,10.105785,,,2014,Kepler-134,,1.176,5983,,,Transit
Kepler-1340 b,0.0161473,0.0115843,0.138,,0.66502692,0,,2016,Kepler-1340,1.27,1.42,6331,,0.07,Transit
Kepler-1341 b,0.471386,0.0267373,0.267,,132.9968322,0,,2016,Kepler-1341,0.79,0.72,4662,,0.19,Transit
Kepler-1342 b,0.032467,0.0123008,0.148,,2.21571036,0,,2016,Kepler-1342,0.93,0.9,5527,,0.03,Transit
