NAME,Semi-eje (UA),Masa pl (Mjup),Rpl (R jup),Densidad pl (gr/cm^3),Periodo (dias),excentricidad,I deg,Año,Nombre estr,Masa estr (Msol),Radio estr (Rsol),Teff,Densidad estr g/cm^3,Metalicidad,Metodo
11 Com b,1.17872,16.1284,,,326.03,0.231,,2008,11 Com,2.04,12.0698,4830,,-0.34,RV
11 UMi b,1.53498,11.0873,,,516.22,0.08,,2009,11 UMi,1.8,44.65,4340,,0.04,RV
14 And b,0.823151,4.68383,,,185.84,0,,2008,14 And,2.15,11.38,4813,,-0.24,RV
14 Her b,2.93362,5.21486,,,1773.4,0.369,,2003,14 Her,1.066,0.912364,5387.61,,0.459932,RV
16 Cyg B b,1.66027,1.63997,,,798.5,0.681,,1997,16 Cyg B,0.956,1.1176,5674.41,,0.0375072,RV
18 Del b,2.58655,10.298,,,993.3,0.08,,2008,18 Del,2.33,9,5076,,0,RV
24 Sex b,1.4118,1.83564,,,455.2,0.184,,2011,24 Sex,1.81,3.92062,5069,,-0.01,RV
24 Sex c,2.24032,1.51716,,,910,0.412,,2011,24 Sex,1.81,3.92062,5069,,-0.01,RV
30 Ari B b,0.99475,9.87792,,,335.1,0.289,,2009,30 Ari B,1.16,1.02283,6300,,0.15,RV
4 UMa b,0.876999,7.13242,,,269.29999,0.432,,2007,4 UMa,1.234,34.6101,4415,,-0.25,RV
42 Dra b,1.16693,3.73203,,,479.1,0.38,,2009,42 Dra,0.92,22.04,4200,,-0.46,RV
47 UMa b,2.10149,2.54589,,,1078,0.032,,1996,47 UMa,1.063,1.11869,5882.31,,0.0431014,RV
47 UMa c,3.57197,0.545774,,,2391,0.098,,2002,47 UMa,1.063,1.11869,5882.31,,0.0431014,RV
51 Eri b,,,0.76,,,,,2015,51 Eri,1.75,,,,,Imaging
51 Peg b,0.0521068,0.461143,,,4.230785,0.013,,1995,51 Peg,1.054,1.02451,5786.68,,0.199853,RV
55 Cnc b,0.113377,0.801471,,,14.651,0.004,,1997,55 Cnc,0.905,0.943,5196,,0.314513,RV
55 Cnc c,0.237305,0.164558,,,44.38,0.07,,2002,55 Cnc,0.905,0.943,5196,,0.314513,RV
55 Cnc d,5.47467,3.54451,,,4909,0.02,,2002,55 Cnc,0.905,0.943,5196,,0.314513,RV
55 Cnc e,0.0154393,0.0263671,0.185565,4.173,0.736546,0,83.4,2004,55 Cnc,0.905,0.943,5196,,0.314513,RV
55 Cnc f,0.773567,0.172877,,,261.2,0.32,,2008,55 Cnc,0.905,0.943,5196,,0.314513,RV
6 Lyn b,2.18639,2.20888,,,874.774,0.059,,2008,6 Lyn,1.82,5.49553,4978,,-0.13,RV
61 Vir b,0.05006,0.016075,,,4.215,0.12,,2010,61 Vir,0.942,0.978547,5571,,0.05,RV
61 Vir c,0.216926,0.0333747,,,38.021,0.14,,2010,61 Vir,0.942,0.978547,5571,,0.05,RV
61 Vir d,0.474527,0.0715929,,,123.01,0.35,,2010,61 Vir,0.942,0.978547,5571,,0.05,RV
7 CMa b,1.80264,2.43233,,,763,0.14,,2011,7 CMa,1.34,2.3,4761,,0.21,RV
70 Vir b,0.483601,7.46144,,,116.6884,0.4007,,1996,70 Vir,1.101,1.59775,5544.6,,-0.0122615,RV
75 Cet b,1.97678,2.7597,,,691.9,0.117,,2012,75 Cet,2.15,10.5,4904,,0.02,RV
8 UMi b,0.490206,1.52093,,,93.4,0.06,,2015,8 UMi,1.8,9.9,4847.4,,-0.03,RV
81 Cet b,2.28088,4.31096,,,952.7,0.206,,2008,81 Cet,1.74,15.7275,4845,,-0.07,RV
91 Aqr b,0.688457,3.07016,,,181.4,0.027,,2013,91 Aqr,1.32,11,4681,,0,RV
BD +14 4559 b,0.775866,1.51929,,,268.94,0.29,,2009,BD +14 4559,0.86,0.725686,4814,,0.1,RV
BD +20 2457 b,1.04992,11.8883,,,379.63,0.15,,2009,BD +20 2457,1.06,32.9639,4259,,-0.79,RV
BD +20 2457 c,1.45701,6.90191,,,621.99,0.18,,2009,BD +20 2457,1.06,32.9639,4259,,-0.79,RV
BD +48 738 b,1.11234,1.2654,,,392.6,0.2,,2012,BD +48 738,1.19,11.7902,4658,,-0.09,RV
BD -08 2823 b,0.0558236,0.045941,,,5.6,0.15,,2010,BD -08 2823,0.74,1.27853,4746,,-0.07,RV
BD -08 2823 c,0.679166,0.328101,,,237.6,0.19,,2010,BD -08 2823,0.74,1.27853,4746,,-0.07,RV
BD -10 3166 b,0.0437823,0.429903,,,3.48777,0.019,,2000,BD -10 3166,0.92,0.745254,5393.03,,0.381727,RV
CoRoT-1 b,0.0253191,1.02979,1.49,0.38,1.5089557,0,85.1,2008,CoRoT-1,0.95,1.11,5950,,-0.3,Transit
CoRoT-10 b,0.105463,2.75536,0.97,3.7,13.2406,0.53,88.55,2010,CoRoT-10,0.89,0.79,5075,2.371,0.26,Transit
CoRoT-11 b,0.0440549,2.34813,1.43,0.99,2.99433,0,83.17,2010,CoRoT-11,1.27,1.37,6440,0.4929,-0.03,Transit
CoRoT-12 b,0.0401409,0.91918,1.44,0.41097,2.828042,0.07,85.48,2010,CoRoT-12,1.078,1.116,5675,0.77,0.16,Transit
CoRoT-13 b,0.051069,1.31099,0.885,2.34,4.03519,0,88.02,2010,CoRoT-13,1.09,1.01,5945,1.04857,0.01,Transit
CoRoT-14 b,0.0269122,7.69464,1.09,7.3,1.51214,0,79.6,2011,CoRoT-14,1.13,1.21,6035,0.65,0.05,Transit
CoRoT-16 b,0.0617874,0.537982,1.17,0.44,5.35227,0.33,85.01,2012,CoRoT-16,1.098,1.19,5650,0.93,0.19,Transit
CoRoT-17 b,0.0480499,2.46001,1.02,2.82,3.7681,0,88.34,2011,CoRoT-17,1.04,1.5121,5740,,0,Transit
CoRoT-18 b,0.0295483,3.48652,1.31,2.2,1.9000693,0.04,86.5,2011,CoRoT-18,0.95,1,5440,1.35,-0.1,Transit
CoRoT-19 b,0.0516604,1.10792,1.29,0.71,3.89713,0.047,88,2012,CoRoT-19,1.21,1.65,6090,0.38,-0.02,Transit
CoRoT-2 b,0.0280884,3.27527,1.466,1.46523,1.7429935,0.0143,88.08,2008,CoRoT-2,0.97,0.902,5625,1.86842,,Transit
CoRoT-20 b,0.0901485,4.24,0.84,8.87,9.24285,0.562,88.21,2012,CoRoT-20,1.14,1.02,5880,1.51,0.14,Transit
CoRoT-22 b,0.0922129,0.0383,0.445,0.249,9.75598,0.077,89.749,2014,CoRoT-22,1.099,1.136,5939,1.03,0.17,Transit
CoRoT-23 b,0.0483417,3.0853,1.05,3,3.6313,0.16,85.7,2012,CoRoT-23,1.14,1.61,5900,0.5,0.05,Transit
CoRoT-25 b,0.0577982,0.27,1.08,0.15,4.86069,0,84.5,2013,CoRoT-25,1.09,1.19,6040,,-0.01,Transit
CoRoT-26 b,0.052477,0.479479,1.26,0.28,4.20474,0,86.8,2013,CoRoT-26,1.09,1.79,5590,,0.01,Transit
CoRoT-27 b,0.0466557,10.3882,1.007,13.4823,3.57532,0,86.7,2014,CoRoT-27,1.05,1.08,5900,1.24,0.1,Transit
CoRoT-28 b,0.0590095,0.484,0.955,0.69,5.20851,0.047,88.1,2015,CoRoT-28,1.01,1.78,5150,0.27,0.15,Transit
CoRoT-29 b,0.0389589,0.85,0.9,1.45,2.85057,0.082,87.3,2015,CoRoT-29,0.97,0.9,5260,1.825,0.2,Transit
CoRoT-3 b,0.0573788,21.8549,1.01,26.4,4.2568,0,85.9,2008,CoRoT-3,1.37,1.56,6740,,-0.02,Transit
CoRoT-4 b,0.0903166,0.717419,1.19,0.525,9.20205,0,90,2008,CoRoT-4,1.16,1.17,6190,,,Transit
CoRoT-5 b,0.0496334,0.462537,1.388,0.217,4.0378962,0.09,85.83,2009,CoRoT-5,1,1.186,6100,,-0.2,Transit
CoRoT-6 b,0.0854177,2.95364,1.166,2.32,8.886593,0,89.07,2010,CoRoT-6,1.05,1.025,6090,,-0.2,Transit
CoRoT-7 b,0.0171898,0.014,0.143989,6.21,0.85359163,0,80.1,2009,CoRoT-7,0.93,0.87,5275,,0.05,Transit
CoRoT-8 b,0.0633825,0.216078,0.57,1.6,6.21229,0,88.4,2010,CoRoT-8,0.88,0.77,5080,1.92857,0.315,Transit
CoRoT-9 b,0.406991,0.843564,1.05,0.9,95.2738,0.11,89.99,2010,CoRoT-9,0.99,0.94,5625,1.2,-0.01,Transit
Fomalhaut b,113.443,0.5,,,318498,0.12,,2008,Fomalhaut,1.92,1.842,8590,,,Imaging
GJ 1214 b,0.0143253,0.0203507,0.2389,1.87,1.58040482,0,90,2009,GJ 1214,0.157,0.211,3026,24.1,,Transit
GJ 15 A b,0.0716678,0.0168,,,11.4433,0,,2014,GJ 15 A,0.375,0.3863,3567,,-0.32,RV
GJ 163 b,0.0606753,0.033876,,,8.631,0.11,,2013,GJ 163,0.4,,,,,RV
GJ 163 c,0.125354,0.0215524,,,25.63058,0.099,,2013,GJ 163,0.4,,,,,RV
GJ 163 d,1.03037,0.0926098,,,603.95116,0.373,,2013,GJ 163,0.4,,,,,RV
GJ 176 b,0.0656822,0.0259969,,,8.7832,0,,2009,GJ 176,0.49,,,,-0.1,RV
GJ 179 b,2.41241,0.824243,,,2288,0.21,,2010,GJ 179,0.357,,3370,,0.3,RV
GJ 317 b,0.953099,1.26045,,,692,0.11,,2007,GJ 317,0.24,,,,0.36,RV
GJ 328 b,4.43476,2.3,,,4100,0.37,,2013,GJ 328,0.69,,3900,,,RV
GJ 3293 b,0.143394,0.081,,,30.6,0.07,,2015,GJ 3293,0.42,0.404,3466,,0.02,RV
GJ 3293 c,0.363982,0.081,,,123.75,0.33,,2015,GJ 3293,0.42,0.404,3466,,0.02,RV
GJ 3341 b,0.0892579,0.0208212,,,14.207,0.31,,2015,GJ 3341,0.47,0.439,3526,,-0.09,RV
GJ 3470 b,0.0356088,0.0440093,0.374365,1.07,3.336649,0,88.12,2012,GJ 3470,0.541,0.503,3600,,,RV
GJ 3634 b,0.0286881,0.0221881,,,2.64561,0.08,,2011,GJ 3634,0.45,0.43,,,,RV
GJ 433 b,0.0580371,0.0181986,,,7.3709,0.08,,2013,GJ 433,0.48,,3600,,-0.22,RV
GJ 436 b,0.0287188,0.0726979,0.3767,1.69,2.64385,0.16,86.36,2004,GJ 436,0.452,0.464,3350,4.593,,RV
GJ 504 b,,4,,,,,,2013,GJ 504,1.22,0.912273,6234,,0.28,Imaging
GJ 581 b,0.0406125,0.0499019,,,5.36865,0.031,,2005,GJ 581,0.31,0.299,3498,,-0.1,RV
GJ 581 c,0.0729238,0.0167756,,,12.9182,0.07,,2007,GJ 581,0.31,0.299,3498,,-0.1,RV
GJ 581 e,0.028459,0.00613456,,,3.14945,0.32,,2009,GJ 581,0.31,0.299,3498,,-0.1,RV
GJ 649 b,1.13179,0.325341,,,598.3,0.3,,2010,GJ 649,0.54,,3700,,0.08,RV
GJ 667 C b,0.0504277,0.0174951,,,7.1999,0.15,,2011,GJ 667 C,0.33,,3350,,-0.55,RV
GJ 667 C c,0.125003,0.0130687,,,28.1,0.27,,2011,GJ 667 C,0.33,,3350,,-0.55,RV
GJ 674 b,0.0386657,0.034879,,,4.6938,0.2,,2007,GJ 674,0.35,,3600,,-0.28,RV
GJ 676 A b,1.81539,4.89701,,,1056.8,0.326,,2011,GJ 676 A,0.71,,,,0.18,RV
GJ 687 b,0.165144,0.058,,,38.14,0.04,,2014,GJ 687,0.413,0.4183,3413,,-0.09,RV
GJ 832 b,3.56153,0.684002,,,3657,0.08,,2009,GJ 832,0.45,,,,-0.4,RV
GJ 832 c,0.162542,0.016749,,,35.68,0.18,,2014,GJ 832,0.45,,3472,,,RV
GJ 849 b,2.35317,0.830886,,,1882,0.04,,2006,GJ 849,0.49,,,,0.16,RV
GJ 86 b,0.114217,4.00104,,,15.76491,0.0416,,2000,GJ 86,0.796,0.748264,5150.54,,-0.267896,RV
GJ 876 b,0.208098,1.9469,,,61.1166,0.0324,,1998,GJ 876,0.32,,,,0.37,RV
GJ 876 c,0.129574,0.612168,,,30.0881,0.25591,,2001,GJ 876,0.32,,,,0.37,RV
GJ 876 d,0.0208066,0.0184193,,,1.93778,0.207,,2005,GJ 876,0.32,,,,0.37,RV
GJ 876 e,0.333345,0.039229,,,124.26,0.055,,2010,GJ 876,0.32,,,,0.37,RV
HAT-P-1 b,0.0553326,0.532369,1.242,0.345,4.4652934,0,86.11,2007,HAT-P-1,1.133,1.135,5975,0.7779,0.13,Transit
HAT-P-11 b,0.0525443,0.0825354,0.422,1.33,4.8878162,0.198,88.5,2010,HAT-P-11,0.81,0.75,4780,2.5127,0.31,Transit
HAT-P-12 b,0.0383737,0.210804,0.959,0.295,3.2130598,0,89,2009,HAT-P-12,0.73,0.701,4650,,-0.29,Transit
HAT-P-13 b,0.0426946,0.85708,1.281,0.499,2.91625,0.0133,83.4,2009,HAT-P-13,1.22,1.56,5653,,0.41,Transit
HAT-P-13 c,1.22574,14.2696,,,446.27,0.6616,,2009,HAT-P-13,1.22,1.56,5653,,0.41,RV
HAT-P-14 b,0.0606258,2.23603,1.15,1.82,4.627669,0.107,83.5,2010,HAT-P-14,1.386,1.468,6600,,0.11,Transit
HAT-P-15 b,0.0964692,1.95154,1.072,1.96,10.863502,0.19,89.1,2010,HAT-P-15,1.013,1.08,5568,,0.22,Transit
HAT-P-16 b,0.0413275,4.2025,1.289,2.42,2.77596,0.036,86.6,2010,HAT-P-16,1.218,1.237,6158,,0.17,Transit
HAT-P-17 b,0.0882385,0.530158,1.01,0.64,10.338523,0.346,89.2,2012,HAT-P-17,0.857,0.837,5246,,0,Transit
HAT-P-18 b,0.0559503,0.197205,0.995,0.25,5.508023,0.084,88.8,2011,HAT-P-18,0.77,0.749,4803,,0.1,Transit
HAT-P-19 b,0.0466409,0.292273,1.132,0.25,4.008778,0.067,88.2,2011,HAT-P-19,0.842,0.82,4990,,0.23,Transit
HAT-P-2 b,0.0679088,8.87065,1.157,7.29,5.6334729,0.5171,86.72,2007,HAT-P-2,1.308,1.506,6290,0.429,0.14,Transit
HAT-P-20 b,0.03616,7.28953,0.867,13.78,2.875317,0.015,86.8,2011,HAT-P-20,0.756,0.694,4595,,0.35,Transit
HAT-P-21 b,0.0494951,4.07833,1.024,4.68,4.124481,0.228,87.2,2011,HAT-P-21,0.947,1.105,5588,,0.01,Transit
HAT-P-22 b,0.0414094,2.15137,1.08,2.11,3.21222,0.016,86.9,2011,HAT-P-22,0.916,1.04,5302,,0.24,Transit
HAT-P-23 b,0.0231971,2.09606,1.368,1.01,1.212884,0.106,85.1,2011,HAT-P-23,1.13,1.203,5905,,0.15,Transit
HAT-P-24 b,0.0465021,0.685857,1.242,0.44,3.35524,0.067,88.6,2010,HAT-P-24,1.191,1.317,6373,,-0.16,Transit
HAT-P-25 b,0.0465813,0.567181,1.19,3,3.652836,0.032,87.6,2012,HAT-P-25,1.01,0.959,5500,,0.31,Transit
HAT-P-26 b,0.0478684,0.0586489,0.565,0.4,4.234516,0.124,88.6,2011,HAT-P-26,0.816,0.788,5079,0.4,-0.04,Transit
HAT-P-27 b,0.0399488,0.617485,1.02,0.771559,3.039577,0,85,2011,HAT-P-27,0.92,0.87,5190,1.94304,0.14,Transit
HAT-P-28 b,0.0433674,0.627833,1.212,0.44,3.257215,0.051,88,2011,HAT-P-28,1.025,1.103,5680,,0.12,Transit
HAT-P-29 b,0.0666842,0.779004,1.107,0.71,5.723186,0.095,87.1,2011,HAT-P-29,1.207,1.224,6087,,0.21,Transit
HAT-P-3 b,0.0388252,0.595712,0.899,1.02,2.899703,0,87.24,2007,HAT-P-3,0.928,0.833,5185,1.90714,0.27,Transit
HAT-P-30 b,0.0419042,0.711088,1.34,0.37,2.810595,0.035,83.6,2011,HAT-P-30,1.242,1.215,6304,,0.13,Transit
HAT-P-31 b,0.0611921,2.16904,1.07,2.18,5.005425,0.245,87.1,2011,HAT-P-31,1.218,1.36,6065,0.69,0.15,Transit
HAT-P-32 b,0.0342627,0.861516,1.789,0.19,2.150008,0,88.9,2011,HAT-P-32,1.16,1.219,6207,,-0.04,Transit
HAT-P-33 b,0.0499317,0.763256,1.686,0.2,3.474474,0,87.2,2011,HAT-P-33,1.375,1.637,6446,,0.05,Transit
HAT-P-34 b,0.0677467,3.334,1.197,2.4,5.452654,0.441,87.1,2012,HAT-P-34,1.392,1.197,6442,,0.22,Transit
HAT-P-35 b,0.0497734,1.05422,1.332,0.55,3.646706,0.025,87.3,2012,HAT-P-35,1.236,1.435,6096,,0.11,Transit
HAT-P-36 b,0.0238229,1.83923,1.264,1.12,1.327347,0.063,86,2012,HAT-P-36,1.022,1.096,5560,,0.26,Transit
HAT-P-37 b,0.0379273,1.17362,1.178,0.89,2.79736,0.058,86.9,2012,HAT-P-37,0.929,0.877,5500,,0.03,Transit
HAT-P-38 b,0.0522992,0.267569,0.825,0.59,4.640382,0.067,88.3,2012,HAT-P-38,0.886,0.923,5330,,0.06,Transit
HAT-P-39 b,0.0509456,0.599196,1.571,0.19,3.54387,0,87,2012,HAT-P-39,1.404,1.625,6430,,0.19,Transit
HAT-P-4 b,0.0443853,0.671507,1.274,0.403,3.056536,0,89.91,2007,HAT-P-4,1.248,1.596,5860,0.3097,0.24,Transit
HAT-P-40 b,0.060845,0.6202,1.73,0.15,4.457243,0,88.3,2012,HAT-P-40,1.512,2.206,6080,,0.22,Transit
HAT-P-41 b,0.0425775,0.800254,1.685,0.2,2.694047,0,87.7,2012,HAT-P-41,1.418,1.683,6390,,0.21,Transit
HAT-P-44 b,0.0507459,0.352,1.242,0.235151,4.301219,0.272,89.1,2014,HAT-P-44,0.942,0.949,5295,,0.33,Transit
HAT-P-45 b,0.0452185,0.892,1.426,0.409025,3.128992,0.049,87.8,2014,HAT-P-45,1.259,1.319,6330,,0.07,Transit
HAT-P-46 b,0.0576688,0.493,1.284,0.311583,4.463129,0.123,85.5,2014,HAT-P-46,1.284,1.396,6120,,0.3,Transit
HAT-P-49 b,0.0437742,1.72959,1.413,0.812942,2.691548,0,86.2,2014,HAT-P-49,1.543,1.833,6820,,0.074,Transit
HAT-P-5 b,0.0407152,1.05561,1.254,0.66,2.788491,0,86.75,2007,HAT-P-5,1.157,1.165,5960,0.733571,0.24,Transit
HAT-P-54 b,0.0411908,0.76,0.944,1.118,3.799847,0,87.04,2015,HAT-P-54,0.645,0.617,4390,,-0.127,Transit
HAT-P-56 b,0.0423182,2.18029,1.466,0.86,2.7908327,,82.13,2015,HAT-P-56,1.296,1.428,6566,0.627,,Transit
HAT-P-57 b,0.0406092,1,1.412,,2.465295,0,88.26,2015,HAT-P-57,1.47,1.5,7500,0.615,-0.25,Transit
HAT-P-6 b,0.0523738,1.05957,1.33,0.559,3.852985,0,85.51,2008,HAT-P-6,1.29,1.46,6570,0.41429,-0.13,Transit
HAT-P-7 b,0.037964,1.7916,1.363,0.876,2.204737,0,83.111,2008,HAT-P-7,1.5,1.981,6389,0.2718,0.26,Transit
HAT-P-8 b,0.0449613,1.29336,1.5,0.568,3.076337,0,87.8,2009,HAT-P-8,1.28,1.58,6200,,0.01,Transit
HAT-P-9 b,0.0528645,0.776601,1.4,0.35,3.92289,0,86.5,2009,HAT-P-9,1.28,1.32,6350,,0.12,Transit
HATS-1 b,0.0444708,1.86507,1.302,1.03,3.446459,0.12,85.6,2013,HATS-1,0.986,1.038,5870,,-0.06,Transit
HATS-10 b,0.0449161,0.526,0.969,0.7,3.312846,0,87.79,2015,HATS-10,1.101,1.105,5880,1.15,0.15,Transit
HATS-13 b,0.0405861,0.542398,1.212,0.377,3.0440499,,88.55,2015,HATS-13,0.962,0.887,5523,1.93,0.05,Transit
HATS-14 b,0.0381546,1.0682,1.039,1.191,2.766741,,88.83,2015,HATS-14,0.967,0.933,5346,1.682,0.33,Transit
HATS-2 b,0.0229834,1.34915,1.168,3.39,1.354133,0,87.2,2013,HATS-2,0.882,0.898,5227,,0.15,Transit
HATS-3 b,0.0485119,1.0735,1.381,0.540462,3.547851,0,86.2,2013,HATS-3,1.209,1.404,6351,,-0.157,Transit
HATS-4 b,0.032693,1.323,1.02,1.55,2.156729,0.013,88.5,2014,HATS-4,1.001,0.925,5403,,0.43,Transit
HATS-5 b,0.0542014,0.237663,0.912,0.415453,4.763387,0.019,89.3,2014,HATS-5,0.936,0.871,5304,,0.19,Transit
HATS-6 b,0.0362414,0.319,0.998,0.399,3.3252725,0,88.21,2015,HATS-6,0.574,0.57,3724,4.36,0.2,Transit
HATS-9 b,0.0304899,0.837,1.065,0.85,1.9153073,0,86.5,2015,HATS-9,1.03,1.503,5366,0.427,0.34,Transit
HD 100655 b,0.682908,1.33352,,,157.57,0.085,,2012,HD 100655,1.71,9.3,4801,,-0.02,RV
HD 100777 b,1.03378,1.16502,,,383.70001,0.36,,2007,HD 100777,1,1.07881,5582,,0.27,RV
HD 10180 c,0.0641175,0.0415054,,,5.75962,0.077,,2011,HD 10180,1.06,1.10851,5911,,0.08,RV
HD 10180 d,0.128581,0.0376549,,,16.3567,0.143,,2011,HD 10180,1.06,1.10851,5911,,0.08,RV
HD 10180 e,0.269917,0.0797893,,,49.747,0.065,,2011,HD 10180,1.06,1.10851,5911,,0.08,RV
HD 10180 f,0.49279,0.0743252,,,122.72,0.133,,2011,HD 10180,1.06,1.10851,5911,,0.08,RV
HD 10180 g,1.42271,0.0673813,,,602,0,,2011,HD 10180,1.06,1.10851,5911,,0.08,RV
HD 10180 h,3.42452,0.206033,,,2248,0.151,,2011,HD 10180,1.06,1.10851,5911,,0.08,RV
HD 101930 b,0.302019,0.299187,,,70.459999,0.11,,2005,HD 101930,0.74,1.19859,5079,,0.17,RV
HD 102117 b,0.152077,0.169756,,,20.8133,0.121,,2005,HD 102117,1.083,1.13334,5695.18,,0.295218,RV
HD 102195 b,0.0479747,0.452799,,,4.113775,0,,2006,HD 102195,0.87,0.937994,5291,,0.05,RV
HD 102272 b,0.512595,4.10898,,,127.58,0.05,,2008,HD 102272,1.1,12.7057,4807,,-0.38,RV
HD 102329 b,1.80892,4.47808,,,778.1,0.211,,2011,HD 102329,1.3,7.27206,4745,,0.05,RV
HD 102365 b,0.463328,0.0509774,,,122.1,0.34,,2011,HD 102365,0.89,0.828702,5630,,-0.26,RV
HD 102956 b,0.0810025,0.951497,,,6.4948,0.048,,2010,HD 102956,1.68,3.42909,5054,,0.19,RV
HD 103197 b,0.249018,0.0982431,,,47.84,0,,2011,HD 103197,0.9,1.01561,5303,,0.21,RV
HD 103774 b,0.070273,0.368054,,,5.8881,0.09,,2013,HD 103774,1.335,1.43364,6489,,0.28,RV
HD 104067 b,0.264333,0.185935,,,55.806,0,,2011,HD 104067,0.791,0.858425,4969,,-0.06,RV
HD 10442 b,2.33538,2.1,,,1043,0.11,,2015,HD 10442,1.56,3.39124,5034,,0.11,RV
HD 104985 b,0.678014,4.9174,,,199.505,0.09,,2003,HD 104985,1.04,7.09522,4819,,-0.35,RV
HD 106252 b,2.61147,6.95913,,,1531,0.482,,2002,HD 106252,1.007,1.12257,5869.88,,-0.0762657,RV
HD 106270 b,4.37827,11.0869,,,2890,0.402,,2011,HD 106270,1.33,2.66147,5601,,0.06,RV
HD 10647 b,2.02175,0.925037,,,1003,0.16,,2006,HD 10647,1.095,1.18569,6104.96,,-0.0775835,RV
HD 10697 b,2.13177,6.23505,,,1075.2,0.099,,2000,HD 10697,1.112,1.54131,5680.44,,0.194014,RV
HD 107148 b,0.270013,0.212171,,,48.056,0.05,,2006,HD 107148,1.137,1.04161,5797.24,,0.313842,RV
HD 108147 b,0.101407,0.257999,,,10.8985,0.53,,2002,HD 108147,1.171,1.29703,6156.24,,0.0868245,RV
HD 108341 b,2.00715,3.4773,,,1129,0.85,,2015,HD 108341,0.843,0.79,5122,,0.04,RV
HD 108863 b,1.45325,2.76572,,,443.4,0,,2011,HD 108863,2.08,7.27656,4919,,0.2,RV
HD 108874 b,1.03527,1.2902,,,394.48124,0.1276,,2003,HD 108874,0.95,1.12115,5550.95,,0.181867,RV
HD 108874 c,2.72021,1.02837,,,1680.3835,0.273039,,2005,HD 108874,0.95,1.12115,5550.95,,0.181867,RV
HD 109246 b,0.328074,0.768085,,,68.27,0.12,,2010,HD 109246,1.01,1.00892,5844,,0.1,RV
HD 109749 b,0.0629198,0.27467,,,5.24,0,,2006,HD 109749,1.21,1.10733,5903,,0.25,RV
HD 111232 b,1.97489,6.84182,,,1143,0.2,,2004,HD 111232,0.78,0.874998,5494,,-0.36,RV
HD 113337 b,1.03346,2.83,,,324,0.46,,2013,HD 113337,1.4,1.5,6576.58,,0.07,RV
HD 114386 b,1.72685,1.3637,,,937.70001,0.23,,2004,HD 114386,0.78,0.637212,4819.64,,0.00374012,RV
HD 114613 b,5.3109,0.506039,,,3827,0.25,,2014,HD 114613,1.364,1.91632,5729,,0.19,RV
HD 114729 b,2.10235,0.944758,,,1114,0.167,,2003,HD 114729,0.998,1.46377,5820.94,,-0.261741,RV
HD 114762 b,0.362932,11.6351,,,83.9151,0.3354,,1989,HD 114762,0.894578,0.859205,5952.51,,-0.653141,RV
HD 114783 b,1.15987,1.10505,,,493.7,0.144,,2002,HD 114783,0.853,0.837785,5135.09,,0.116482,RV
HD 11506 b,2.60488,4.7347,,,1405,0.3,,2007,HD 11506,1.19,1.26275,6058,,0.31,RV
HD 11506 c,0.774655,0.36,,,223.6,0.24,,2015,HD 11506,1.24,1.33,6055,,0.29,RV
HD 116029 b,1.64869,1.9075,,,670,0,,2011,HD 116029,1.33,5.04235,4811,,0.08,RV
HD 117207 b,3.73753,1.8189,,,2597,0.144,,2005,HD 117207,1.031,0.951872,5723.69,,0.266084,RV
HD 11755 b,1.08513,6.55071,,,433.7,0.19,,2015,HD 11755,0.9,27.3,4312.5,,-0.74,RV
HD 117618 b,0.174852,0.176652,,,25.827,0.42,,2005,HD 117618,1.069,1.16537,5963.63,,0.00274042,RV
HD 118203 b,0.0702997,2.13623,,,6.1335,0.309,,2006,HD 118203,1.23,2.14975,5600,,0.1,RV
HD 11964 b,3.1288,0.608106,,,1944.5898,0.041,,2006,HD 11964,1.08,1.76025,5372,,0.14,RV
HD 11964 c,0.226601,0.0770689,,,37.910254,0.301733,,2007,HD 11964,1.08,1.76025,5372,,0.14,RV
HD 11977 b,2.063,7.40012,,,711,0.4,,2005,HD 11977,2.31,8.14661,5067,,-0.16,RV
HD 120084 b,4.26892,4.4772,,,2082,0.66,,2013,HD 120084,2.39,10.9537,4892,,0.09,RV
HD 121504 b,0.328688,1.2223,,,63.330002,0.03,,2004,HD 121504,1.18,0.844267,6075,,0.16,RV
HD 1237 b,0.494668,3.3748,,,133.71001,0.511,,2001,HD 1237,0.9,0.858011,5536,,0.12,RV
HD 125595 b,0.0809437,0.0416764,,,9.6737,0,,2011,HD 125595,0.756,1.03336,4908,,0.02,RV
HD 125612 b,1.3728,3.06805,,,559.40487,0.45899,,2007,HD 125612,1.1,1.0426,5897,,0.24,RV
HD 125612 c,0.0522124,0.0580667,,,4.15474,0.27499,,2010,HD 125612,1.1,1.0426,5897,,0.24,RV
HD 12648 b,0.543924,2.89937,,,133.6,0.04,,2015,HD 12648,1.2,9.2,4835.8,,-0.57,RV
HD 12661 b,0.838172,2.3408,,,262.70861,0.376834,,2001,HD 12661,1.136,1.06782,5742.75,,0.362341,RV
HD 12661 c,2.91927,1.9487,,,1707.8812,0.0312556,,2003,HD 12661,1.136,1.06782,5742.75,,0.362341,RV
HD 126614 A b,2.36847,0.385706,,,1244,0.41,,2010,HD 126614 A,1.145,1.10978,5585,,0.56,RV
HD 128311 b,1.08649,1.4572,,,454.2,0.345,,2003,HD 128311,0.828,0.58322,4965.42,,0.204777,RV
